timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
33194306,-61.34409,26.349998,102063.99,1.212689
33206264,-61.09571,26.349998,102061.0,1.2126535
33217270,-61.180267,26.349998,102062.0,1.2126654
33238259,-61.9254,26.34,102071.0,1.2127724
33250255,-60.68351,26.34,102056.0,1.2125942
33263345,-61.59247,26.34,102067.0,1.2127248
33287253,-61.840847,26.349998,102069.99,1.2127603
33298264,-61.34409,26.349998,102063.99,1.212689
33309259,-61.428646,26.349998,102065.0,1.2127011
33331656,-61.5132,26.359999,102066.0,1.2127129
33343660,-61.34409,26.359999,102063.99,1.212689
33354270,-61.75629,26.359999,102069.0,1.2127485
33376273,-61.59247,26.369999,102067.0,1.2127248
33387664,-61.180267,26.369999,102062.0,1.2126654
33399740,-61.75629,26.369999,102069.0,1.2127485
33422256,-61.34409,26.369999,102063.99,1.212689
33433257,-61.259537,26.369999,102063.0,1.2126772
33443656,-61.428646,26.369999,102065.0,1.2127011
33467658,-61.428646,26.369999,102065.0,1.2127011
33479663,-61.67702,26.369999,102068.0,1.2127367
33490256,-61.09571,26.369999,102061.0,1.2126535
33513277,-61.01644,26.369999,102060.0,1.2126416
33525003,-61.01644,26.369999,102060.0,1.2126416
33536748,-60.847336,26.369999,102057.99,1.2126178
33559311,-61.67702,26.38,102068.0,1.2127367
33570843,-60.847336,26.38,102057.99,1.2126178
33581368,-61.34409,26.38,102063.99,1.212689
33605103,-60.93189,26.38,102059.0,1.2126298
33617051,-61.428646,26.38,102065.0,1.2127011
33629268,-60.93189,26.38,102059.0,1.2126298
33651253,-62.17378,26.38,102074.0,1.212808
33662257,-61.259537,26.38,102063.0,1.2126772
33673270,-61.5132,26.38,102066.0,1.2127129
33697555,-61.59247,26.38,102067.0,1.2127248
33710402,-61.67702,26.38,102068.0,1.2127367
33721565,-61.259537,26.38,102063.0,1.2126772
33744256,-61.840847,26.39,102069.99,1.2127603
33756253,-61.34409,26.39,102063.99,1.212689
33767407,-61.428646,26.39,102065.0,1.2127011
33790457,-60.93189,26.39,102059.0,1.2126298
33802253,-61.9254,26.39,102071.0,1.2127724
33812265,-60.768066,26.39,102057.0,1.212606
33834268,-61.428646,26.4,102065.0,1.2127011
33847052,-61.67702,26.4,102068.0,1.2127367
33857544,-61.428646,26.4,102065.0,1.2127011
33882684,-60.93189,26.4,102059.0,1.2126298
33895389,-61.180267,26.4,102062.0,1.2126654
33907338,-62.17378,26.4,102074.0,1.212808
33929255,-61.75629,26.4,102069.0,1.2127485
33941257,-61.9254,26.4,102071.0,1.2127724
33954383,-61.180267,26.4,102062.0,1.2126654
33977261,-60.768066,26.4,102057.0,1.212606
33988270,-60.768066,26.4,102057.0,1.212606
33999253,-61.01644,26.4,102060.0,1.2126416
34023346,-62.422157,26.41,102076.99,1.2128435
34035336,-61.34409,26.41,102063.99,1.212689
34046629,-61.75629,26.41,102069.0,1.2127485
34068271,-61.259537,26.41,102063.0,1.2126772
34079388,-61.67702,26.41,102068.0,1.2127367
34091334,-61.09571,26.41,102061.0,1.2126535
34116274,-61.59247,26.41,102067.0,1.2127248
34127749,-60.847336,26.41,102057.99,1.2126178
34138266,-61.428646,26.41,102065.0,1.2127011
34161337,-61.428646,26.42,102065.0,1.2127011
34172798,-61.67702,26.42,102068.0,1.2127367
34184261,-61.5132,26.42,102066.0,1.2127129
34207836,-61.9254,26.42,102071.0,1.2127724
34219360,-61.34409,26.42,102063.99,1.212689
34231779,-61.5132,26.42,102066.0,1.2127129
34255634,-61.9254,26.42,102071.0,1.2127724
34267442,-61.259537,26.42,102063.0,1.2126772
34278271,-61.840847,26.42,102069.99,1.2127603
34302253,-61.67702,26.43,102068.0,1.2127367
34312742,-61.259537,26.43,102063.0,1.2126772
34324308,-61.259537,26.43,102063.0,1.2126772
34347613,-61.5132,26.43,102066.0,1.2127129
34359670,-62.17378,26.43,102074.0,1.212808
34370256,-61.67702,26.43,102068.0,1.2127367
34404265,-61.59247,26.43,102067.0,1.2127248
34415654,-61.09571,26.43,102061.0,1.2126535
34438256,-61.59247,26.439999,102067.0,1.2127248
34448298,-61.59247,26.439999,102067.0,1.2127248
34459569,-61.34409,26.439999,102063.99,1.212689
34482256,-61.259537,26.439999,102063.0,1.2126772
34492754,-61.840847,26.439999,102069.99,1.2127603
34503253,-61.34409,26.439999,102063.99,1.212689
34527312,-61.5132,26.449999,102066.0,1.2127129
34540765,-62.089226,26.449999,102073.0,1.2127961
34551387,-61.180267,26.449999,102062.0,1.2126654
34572775,-60.93189,26.439999,102059.0,1.2126298
34585385,-61.180267,26.439999,102062.0,1.2126654
34597076,-60.598957,26.439999,102055.0,1.2125822
34619315,-61.01644,26.449999,102060.0,1.2126416
34630271,-61.428646,26.449999,102065.0,1.2127011
34641283,-61.259537,26.449999,102063.0,1.2126772
34663312,-61.34409,26.46,102063.99,1.212689
34674883,-62.009956,26.46,102072.0,1.2127842
34685910,-61.840847,26.46,102069.99,1.2127603
34709903,-61.259537,26.46,102063.0,1.2126772
34722196,-61.259537,26.46,102063.0,1.2126772
34732259,-61.67702,26.46,102068.0,1.2127367
34755367,-61.34409,26.47,102063.99,1.212689
34765527,-61.75629,26.47,102069.0,1.2127485
34778187,-60.598957,26.47,102055.0,1.2125822
34799339,-61.34409,26.46,102063.99,1.212689
34810261,-61.34409,26.46,102063.99,1.212689
34821886,-61.09571,26.46,102061.0,1.2126535
34845856,-61.5132,26.46,102066.0,1.2127129
34858220,-61.01644,26.46,102060.0,1.2126416
34868259,-60.68351,26.46,102056.0,1.2125942
34891337,-60.93189,26.48,102059.0,1.2126298
34902353,-61.5132,26.48,102066.0,1.2127129
34913263,-60.768066,26.48,102057.0,1.212606
34937258,-62.089226,26.48,102073.0,1.2127961
34950691,-61.01644,26.48,102060.0,1.2126416
34961296,-60.598957,26.48,102055.0,1.2125822
35005256,-61.59247,26.48,102067.0,1.2127248
35028265,-61.180267,26.48,102062.0,1.2126654
35039340,-61.9254,26.48,102071.0,1.2127724
35051346,-62.25833,26.48,102075.0,1.2128198
35074930,-61.9254,26.48,102071.0,1.2127724
35086334,-61.09571,26.48,102061.0,1.2126535
35097270,-60.93189,26.48,102059.0,1.2126298
35119255,-61.428646,26.49,102065.0,1.2127011
35130263,-61.428646,26.49,102065.0,1.2127011
35143336,-61.09571,26.49,102061.0,1.2126535
35165329,-61.428646,26.49,102065.0,1.2127011
35176272,-60.847336,26.49,102057.99,1.2126178
35186328,-61.59247,26.49,102067.0,1.2127248
35209256,-61.59247,26.5,102067.0,1.2127248
35220259,-60.768066,26.5,102057.0,1.212606
35231458,-60.768066,26.5,102057.0,1.212606
35255335,-61.180267,26.5,102062.0,1.2126654
35266306,-60.847336,26.5,102057.99,1.2126178
35279504,-61.259537,26.5,102063.0,1.2126772
35301257,-61.59247,26.5,102067.0,1.2127248
35312349,-61.9254,26.5,102071.0,1.2127724
35323651,-61.09571,26.5,102061.0,1.2126535
35347598,-61.428646,26.5,102065.0,1.2127011
35359660,-61.180267,26.5,102062.0,1.2126654
35370270,-61.428646,26.5,102065.0,1.2127011
35391259,-60.768066,26.51,102057.0,1.212606
35403656,-61.59247,26.51,102067.0,1.2127248
35414257,-61.59247,26.51,102067.0,1.2127248
35436643,-60.519688,26.51,102054.0,1.2125703
35448337,-60.519688,26.51,102054.0,1.2125703
35459663,-60.598957,26.51,102055.0,1.2125822
35493593,-61.428646,26.51,102065.0,1.2127011
35505105,-61.259537,26.51,102063.0,1.2126772
35528751,-61.259537,26.519999,102063.0,1.2126772
35541422,-60.93189,26.519999,102059.0,1.2126298
35553268,-61.180267,26.519999,102062.0,1.2126654
35576753,-61.75629,26.519999,102069.0,1.2127485
35589032,-61.75629,26.519999,102069.0,1.2127485
35601103,-61.59247,26.519999,102067.0,1.2127248
35624752,-60.93189,26.51,102059.0,1.2126298
35637402,-60.93189,26.51,102059.0,1.2126298
35649067,-61.428646,26.51,102065.0,1.2127011
35672844,-61.75629,26.519999,102069.0,1.2127485
35685030,-62.17378,26.519999,102074.0,1.212808
35696253,-61.67702,26.519999,102068.0,1.2127367
35720259,-61.5132,26.529999,102066.0,1.2127129
35731253,-60.847336,26.529999,102057.99,1.2126178
35742264,-60.93189,26.529999,102059.0,1.2126298
35764259,-60.847336,26.529999,102057.99,1.2126178
35775403,-61.180267,26.529999,102062.0,1.2126654
35787838,-61.34409,26.529999,102063.99,1.212689
35809880,-61.09571,26.529999,102061.0,1.2126535
35822187,-60.93189,26.529999,102059.0,1.2126298
35832259,-60.35058,26.529999,102051.99,1.2125465
35855253,-61.34409,26.539999,102063.99,1.212689
35866262,-60.598957,26.539999,102055.0,1.2125822
35878315,-61.01644,26.539999,102060.0,1.2126416
35899371,-61.180267,26.539999,102062.0,1.2126654
35911380,-61.01644,26.539999,102060.0,1.2126416
35923346,-61.5132,26.539999,102066.0,1.2127129
35947336,-61.01644,26.55,102060.0,1.2126416
35958963,-61.34409,26.55,102063.99,1.212689
35970663,-61.259537,26.55,102063.0,1.2126772
35994330,-61.428646,26.55,102065.0,1.2127011
36005262,-60.35058,26.55,102051.99,1.2125465
36017257,-61.9254,26.55,102071.0,1.2127724
36041255,-61.180267,26.55,102062.0,1.2126654
36053256,-61.34409,26.55,102063.99,1.212689
36064307,-60.598957,26.55,102055.0,1.2125822
36085305,-61.5132,26.55,102066.0,1.2127129
36096262,-61.9254,26.55,102071.0,1.2127724
36107517,-61.09571,26.55,102061.0,1.2126535
36131525,-61.180267,26.56,102062.0,1.2126654
36143629,-61.59247,26.56,102067.0,1.2127248
36155506,-61.75629,26.56,102069.0,1.2127485
36179465,-61.180267,26.56,102062.0,1.2126654
36192670,-61.34409,26.56,102063.99,1.212689
36203339,-61.259537,26.56,102063.0,1.2126772
36226257,-60.768066,26.57,102057.0,1.212606
36238270,-61.259537,26.57,102063.0,1.2126772
36251403,-61.180267,26.57,102062.0,1.2126654
36274270,-60.93189,26.57,102059.0,1.2126298
36286261,-60.768066,26.57,102057.0,1.212606
36298253,-61.34409,26.57,102063.99,1.212689
36320562,-60.847336,26.57,102057.99,1.2126178
36332340,-60.768066,26.57,102057.0,1.212606
36343664,-61.5132,26.57,102066.0,1.2127129
36366257,-61.34409,26.57,102063.99,1.212689
36376803,-61.5132,26.57,102066.0,1.2127129
36388266,-61.09571,26.57,102061.0,1.2126535
36412276,-61.180267,26.58,102062.0,1.2126654
36423562,-61.75629,26.58,102069.0,1.2127485
36435754,-61.5132,26.58,102066.0,1.2127129
36457368,-60.847336,26.59,102057.99,1.2126178
36469253,-60.847336,26.59,102057.99,1.2126178
36480255,-60.768066,26.59,102057.0,1.212606
36503311,-61.59247,26.59,102067.0,1.2127248
36517114,-60.847336,26.59,102057.99,1.2126178
36527311,-61.67702,26.59,102068.0,1.2127367
36551257,-61.09571,26.59,102061.0,1.2126535
36565043,-61.09571,26.59,102061.0,1.2126535
36575316,-61.01644,26.59,102060.0,1.2126416
36597335,-61.259537,26.59,102063.0,1.2126772
36609738,-61.428646,26.59,102065.0,1.2127011
36621333,-61.840847,26.59,102069.99,1.2127603
36645045,-60.93189,26.599998,102059.0,1.2126298
36657370,-60.847336,26.599998,102057.99,1.2126178
36669265,-61.5132,26.599998,102066.0,1.2127129
36692268,-60.768066,26.599998,102057.0,1.212606
36703253,-61.5132,26.599998,102066.0,1.2127129
36714366,-61.09571,26.599998,102061.0,1.2126535
36737818,-61.09571,26.609999,102061.0,1.2126535
36749531,-61.09571,26.609999,102061.0,1.2126535
36760266,-61.428646,26.609999,102065.0,1.2127011
36784253,-61.59247,26.609999,102067.0,1.2127248
36796257,-61.5132,26.609999,102066.0,1.2127129
36807264,-61.428646,26.609999,102065.0,1.2127011
36829981,-61.75629,26.609999,102069.0,1.2127485
36842558,-61.34409,26.609999,102063.99,1.212689
36853550,-61.59247,26.609999,102067.0,1.2127248
36876256,-61.180267,26.609999,102062.0,1.2126654
36887340,-61.09571,26.609999,102061.0,1.2126535
36899878,-61.59247,26.609999,102067.0,1.2127248
36922955,-60.768066,26.609999,102057.0,1.212606
36934423,-61.428646,26.609999,102065.0,1.2127011
36945264,-60.68351,26.609999,102056.0,1.2125942
36969257,-61.180267,26.619999,102062.0,1.2126654
36980259,-60.68351,26.619999,102056.0,1.2125942
36991253,-61.34409,26.619999,102063.99,1.212689
37015409,-61.428646,26.619999,102065.0,1.2127011
37027336,-61.01644,26.619999,102060.0,1.2126416
37039337,-61.01644,26.619999,102060.0,1.2126416
37063254,-61.09571,26.619999,102061.0,1.2126535
37074871,-61.428646,26.619999,102065.0,1.2127011
37086341,-61.34409,26.619999,102063.99,1.212689
37108423,-61.9254,26.63,102071.0,1.2127724
37120309,-61.67702,26.63,102068.0,1.2127367
37132314,-61.180267,26.63,102062.0,1.2126654
37154273,-61.01644,26.63,102060.0,1.2126416
37165265,-61.01644,26.63,102060.0,1.2126416
37176266,-61.01644,26.63,102060.0,1.2126416
37199331,-61.5132,26.64,102066.0,1.2127129
37210267,-61.34409,26.64,102063.99,1.212689
37222272,-60.847336,26.64,102057.99,1.2126178
37244334,-61.34409,26.64,102063.99,1.212689
37255339,-61.59247,26.64,102067.0,1.2127248
37267473,-61.5132,26.64,102066.0,1.2127129
37290268,-61.34409,26.65,102063.99,1.212689
37302271,-61.5132,26.65,102066.0,1.2127129
37313273,-60.768066,26.65,102057.0,1.212606
37336254,-61.840847,26.66,102069.99,1.2127603
37347667,-61.428646,26.66,102065.0,1.2127011
37359660,-60.93189,26.66,102059.0,1.2126298
37382258,-61.5132,26.65,102066.0,1.2127129
37392285,-60.847336,26.65,102057.99,1.2126178
37403567,-60.847336,26.65,102057.99,1.2126178
37427747,-61.259537,26.66,102063.0,1.2126772
37440268,-61.01644,26.66,102060.0,1.2126416
37451562,-61.34409,26.66,102063.99,1.212689
37474256,-61.01644,26.67,102060.0,1.2126416
37485267,-61.259537,26.67,102063.0,1.2126772
37497086,-61.09571,26.67,102061.0,1.2126535
37521077,-62.25833,26.67,102075.0,1.2128198
37531315,-61.180267,26.67,102062.0,1.2126654
37545067,-61.840847,26.67,102069.99,1.2127603
37567312,-61.01644,26.66,102060.0,1.2126416
37578256,-61.67702,26.66,102068.0,1.2127367
37589757,-60.43513,26.66,102053.0,1.2125585
37613253,-61.180267,26.67,102062.0,1.2126654
37625102,-60.768066,26.67,102057.0,1.212606
37635311,-60.847336,26.67,102057.99,1.2126178
37661269,-62.089226,26.68,102073.0,1.2127961
37673110,-60.93189,26.68,102059.0,1.2126298
37683321,-60.598957,26.68,102055.0,1.2125822
37707871,-61.180267,26.68,102062.0,1.2126654
37719256,-61.428646,26.68,102065.0,1.2127011
37729552,-61.59247,26.68,102067.0,1.2127248
37753744,-61.259537,26.68,102063.0,1.2126772
37765811,-62.25833,26.68,102075.0,1.2128198
37777528,-61.01644,26.68,102060.0,1.2126416
37801529,-61.67702,26.689999,102068.0,1.2127367
37814851,-61.67702,26.689999,102068.0,1.2127367
37825869,-61.09571,26.689999,102061.0,1.2126535
37848259,-61.34409,26.689999,102063.99,1.212689
37860256,-61.180267,26.689999,102062.0,1.2126654
37873568,-61.9254,26.689999,102071.0,1.2127724
37897273,-61.9254,26.689999,102071.0,1.2127724
37908805,-61.9254,26.689999,102071.0,1.2127724
37919594,-61.34409,26.689999,102063.99,1.212689
37943253,-61.01644,26.689999,102060.0,1.2126416
37954334,-61.01644,26.689999,102060.0,1.2126416
37965263,-60.847336,26.689999,102057.99,1.2126178
37989255,-61.34409,26.689999,102063.99,1.212689
38001267,-61.428646,26.689999,102065.0,1.2127011
38012270,-61.34409,26.689999,102063.99,1.212689
38034720,-61.428646,26.699999,102065.0,1.2127011
38046975,-60.768066,26.699999,102057.0,1.212606
38058848,-60.847336,26.699999,102057.99,1.2126178
38081306,-61.75629,26.71,102069.0,1.2127485
38093255,-61.59247,26.71,102067.0,1.2127248
38105263,-61.180267,26.71,102062.0,1.2126654
38126259,-61.259537,26.71,102063.0,1.2126772
38139463,-61.180267,26.71,102062.0,1.2126654
38151779,-60.768066,26.71,102057.0,1.212606
38176039,-61.09571,26.699999,102061.0,1.2126535
38187255,-61.428646,26.699999,102065.0,1.2127011
38199521,-60.93189,26.699999,102059.0,1.2126298
38222255,-61.34409,26.71,102063.99,1.212689
38234259,-61.59247,26.71,102067.0,1.2127248
38246328,-61.01644,26.71,102060.0,1.2126416
38270266,-61.67702,26.72,102068.0,1.2127367
38282255,-61.59247,26.72,102067.0,1.2127248
38293258,-61.428646,26.72,102065.0,1.2127011
38315660,-60.598957,26.72,102055.0,1.2125822
38327597,-61.259537,26.72,102063.0,1.2126772
38338257,-61.180267,26.72,102062.0,1.2126654
38359657,-61.59247,26.73,102067.0,1.2127248
38371256,-61.75629,26.73,102069.0,1.2127485
38382256,-61.67702,26.73,102068.0,1.2127367
38403651,-62.17378,26.73,102074.0,1.212808
38415568,-61.59247,26.73,102067.0,1.2127248
38426259,-60.598957,26.73,102055.0,1.2125822
38447664,-61.34409,26.73,102063.99,1.212689
38459560,-61.259537,26.73,102063.0,1.2126772
38470306,-60.68351,26.73,102056.0,1.2125942
38491617,-60.768066,26.74,102057.0,1.212606
38503320,-60.68351,26.74,102056.0,1.2125942
38515314,-61.428646,26.74,102065.0,1.2127011
38538256,-61.840847,26.75,102069.99,1.2127603
38549255,-60.93189,26.75,102059.0,1.2126298
38559318,-60.847336,26.75,102057.99,1.2126178
38583253,-61.259537,26.75,102063.0,1.2126772
38594344,-61.09571,26.75,102061.0,1.2126535
38606258,-61.5132,26.75,102066.0,1.2127129
38639256,-61.180267,26.75,102062.0,1.2126654
38653195,-61.259537,26.75,102063.0,1.2126772
38677105,-61.01644,26.76,102060.0,1.2126416
38689223,-61.259537,26.76,102063.0,1.2126772
38700749,-62.009956,26.76,102072.0,1.2127842
38724259,-61.01644,26.75,102060.0,1.2126416
38735256,-60.768066,26.75,102057.0,1.212606
38746558,-61.01644,26.75,102060.0,1.2126416
38769830,-61.259537,26.76,102063.0,1.2126772
38781550,-61.67702,26.76,102068.0,1.2127367
38794777,-60.68351,26.76,102056.0,1.2125942
38818207,-61.259537,26.76,102063.0,1.2126772
38828259,-61.34409,26.76,102063.99,1.212689
38839402,-60.68351,26.76,102056.0,1.2125942
38862256,-60.847336,26.76,102057.99,1.2126178
38874177,-61.67702,26.76,102068.0,1.2127367
38885871,-60.847336,26.76,102057.99,1.2126178
38909270,-62.009956,26.769999,102072.0,1.2127842
38921324,-61.259537,26.769999,102063.0,1.2126772
38933257,-61.09571,26.769999,102061.0,1.2126535
38957270,-61.259537,26.769999,102063.0,1.2126772
38969256,-60.768066,26.769999,102057.0,1.212606
38981261,-60.847336,26.769999,102057.99,1.2126178
39003367,-61.09571,26.769999,102061.0,1.2126535
39014334,-61.5132,26.769999,102066.0,1.2127129
39024326,-60.768066,26.769999,102057.0,1.212606
39047255,-62.25833,26.779999,102075.0,1.2128198
39058979,-61.428646,26.779999,102065.0,1.2127011
39070365,-60.68351,26.779999,102056.0,1.2125942
39094361,-61.01644,26.779999,102060.0,1.2126416
39105337,-61.09571,26.779999,102061.0,1.2126535
39116792,-61.01644,26.779999,102060.0,1.2126416
39139404,-61.34409,26.779999,102063.99,1.212689
39151335,-61.34409,26.779999,102063.99,1.212689
39163756,-61.840847,26.779999,102069.99,1.2127603
39186306,-61.428646,26.789999,102065.0,1.2127011
39197256,-61.59247,26.789999,102067.0,1.2127248
39207551,-61.9254,26.789999,102071.0,1.2127724
39231254,-61.67702,26.789999,102068.0,1.2127367
39242259,-61.75629,26.789999,102069.0,1.2127485
39255475,-61.9254,26.789999,102071.0,1.2127724
39279338,-60.847336,26.789999,102057.99,1.2126178
39291457,-60.768066,26.789999,102057.0,1.212606
39303254,-61.34409,26.789999,102063.99,1.212689
39325259,-61.67702,26.8,102068.0,1.2127367
39336296,-61.180267,26.8,102062.0,1.2126654
39347560,-60.847336,26.8,102057.99,1.2126178
39370253,-61.180267,26.8,102062.0,1.2126654
39380418,-61.180267,26.8,102062.0,1.2126654
39392263,-61.259537,26.8,102063.0,1.2126772
39415602,-61.180267,26.81,102062.0,1.2126654
39427664,-61.259537,26.81,102063.0,1.2126772
39438253,-61.75629,26.81,102069.0,1.2127485
39459681,-60.35058,26.81,102051.99,1.2125465
39470262,-60.93189,26.81,102059.0,1.2126298
39481261,-61.09571,26.81,102061.0,1.2126535
39504261,-61.34409,26.81,102063.99,1.212689
39515316,-61.180267,26.81,102062.0,1.2126654
39529106,-60.768066,26.81,102057.0,1.212606
39553102,-61.01644,26.81,102060.0,1.2126416
39563318,-61.5132,26.81,102066.0,1.2127129
39575256,-61.259537,26.81,102063.0,1.2126772
39599343,-60.768066,26.82,102057.0,1.212606
39611312,-60.598957,26.82,102055.0,1.2125822
39625115,-60.847336,26.82,102057.99,1.2126178
39646264,-61.259537,26.82,102063.0,1.2126772
39657261,-61.259537,26.82,102063.0,1.2126772
39667312,-61.259537,26.82,102063.0,1.2126772
39692272,-61.34409,26.83,102063.99,1.212689
39705860,-61.59247,26.83,102067.0,1.2127248
39716259,-61.259537,26.83,102063.0,1.2126772
39740259,-61.75629,26.83,102069.0,1.2127485
39752270,-60.847336,26.83,102057.99,1.2126178
39764329,-61.75629,26.83,102069.0,1.2127485
39788259,-61.75629,26.83,102069.0,1.2127485
39801861,-61.5132,26.83,102066.0,1.2127129
39812264,-61.180267,26.83,102062.0,1.2126654
39836270,-60.768066,26.84,102057.0,1.212606
39849857,-61.259537,26.84,102063.0,1.2126772
39860272,-62.009956,26.84,102072.0,1.2127842
39881630,-61.34409,26.84,102063.99,1.212689
39892261,-61.840847,26.84,102069.99,1.2127603
39904266,-61.01644,26.84,102060.0,1.2126416
39926984,-61.34409,26.84,102063.99,1.212689
39937274,-61.09571,26.84,102061.0,1.2126535
39948268,-61.9254,26.84,102071.0,1.2127724
39970686,-61.01644,26.849998,102060.0,1.2126416
39982604,-61.5132,26.849998,102066.0,1.2127129
39993296,-61.428646,26.849998,102065.0,1.2127011
40016262,-61.09571,26.849998,102061.0,1.2126535
40027255,-61.01644,26.849998,102060.0,1.2126416
40037257,-60.68351,26.849998,102056.0,1.2125942
40061256,-61.09571,26.859999,102061.0,1.2126535
