timestamp,load,ram_usage
29474299,0.486727,0.696627
30477207,0.542852,0.6967585
31478724,0.530855,0.6967585
32481375,0.460101,0.6967585
33482256,0.554689,0.6967585
34485373,0.563109,0.6967585
35486256,0.560193,0.6967585
36487252,0.562766,0.6967585
37490295,0.565989,0.6967585
38493218,0.5627,0.6967585
39494256,0.557222,0.6967585
40495257,0.554237,0.6967585
41498256,0.559687,0.6967585
42500458,0.560793,0.6967585
43501508,0.558429,0.6967585
44502295,0.56174,0.6967585
45505170,0.561812,0.698468
46506256,0.572303,0.698468
47509151,0.603297,0.70063776
48510298,0.625709,0.7016898
49512452,0.625239,0.7016898
50513299,0.632286,0.7016898
51520046,0.632289,0.7016898
52521325,0.623588,0.7016898
53525800,0.619503,0.7016898
54529037,0.62916,0.7016898
55533296,0.627492,0.7016898
56536685,0.628405,0.7016898
57537392,0.629734,0.7016898
58540339,0.629808,0.7016898
59543215,0.626855,0.7016898
60544386,0.624905,0.7016898
61547726,0.627658,0.7016898
62550700,0.628168,0.7016898
63551987,0.628342,0.7016898
64558135,0.625041,0.7016898
65562115,0.625671,0.7016898
66566576,0.615956,0.7016898
67573315,0.625591,0.7016898
68574252,0.629507,0.7016898
69576569,0.626411,0.7016898
70577256,0.629416,0.7016898
71579009,0.629307,0.7016898
72580302,0.624403,0.7016898
73583818,0.619126,0.7016898
74584257,0.629224,0.7016898
75586236,0.631039,0.7016898
76587311,0.627332,0.7016898
77589783,0.62735,0.7016898
78594263,0.626942,0.7016898
79597081,0.628703,0.7016898
80598258,0.616937,0.7016898
81603947,0.626327,0.7016898
82605256,0.62925303,0.7016898
83606900,0.62912,0.7016898
84607252,0.629423,0.7016898
85609028,0.629405,0.7016898
86613917,0.623466,0.7016898
87614326,0.621393,0.7016898
88616011,0.629358,0.7016898
89617300,0.628604,0.7016898
90618825,0.630673,0.7016898
91619252,0.625167,0.7016898
92620252,0.628277,0.7016898
93621585,0.626438,0.7016898
94622295,0.622326,0.7016898
95625588,0.626116,0.7016898
96626259,0.627218,0.7016898
97629118,0.627352,0.7016898
98631955,0.625764,0.7016898
99635774,0.626552,0.7016898
100638314,0.616534,0.7016898
101641856,0.626634,0.7016898
102642258,0.619931,0.7016898
103644289,0.629681,0.7016898
104645252,0.630444,0.7016898
105646803,0.62804,0.7016898
106648449,0.630107,0.7016898
107654178,0.622381,0.7016898
108657588,0.624344,0.7016898
109661149,0.627011,0.7016898
110663452,0.628009,0.7016898
111664252,0.626665,0.7016898
112667621,0.632451,0.7016898
113670900,0.626647,0.7016898
114674143,0.624281,0.7016898
115676193,0.626291,0.7016898
116677252,0.626983,0.7016898
117680352,0.629604,0.7016898
118681921,0.625799,0.7016898
119682291,0.6319,0.7016898
120685519,0.619994,0.7016898
121688630,0.62233,0.7016898
122692248,0.623287,0.7016898
123695108,0.624201,0.7016898
124697786,0.629479,0.7016898
125698256,0.627754,0.7016898
126700351,0.626703,0.7016898
127701465,0.619622,0.7016898
128703578,0.628296,0.7016898
129706328,0.629024,0.7016898
130709309,0.622914,0.7016898
131710745,0.62964803,0.7016898
132711447,0.630305,0.7016898
133712770,0.627337,0.7016898
134714736,0.623967,0.7016898
135717947,0.627205,0.7016898
136720748,0.62869,0.7016898
137721307,0.632128,0.7016898
138722942,0.625888,0.7016898
139726431,0.630015,0.7016898
140730844,0.632217,0.7016898
141732289,0.618993,0.7016898
142733315,0.625852,0.7016898
143734252,0.629713,0.7016898
144735256,0.626559,0.7016898
145738009,0.628422,0.7016898
146738278,0.628183,0.7016898
147740162,0.625542,0.7016898
148743493,0.619928,0.7016898
149746094,0.62895,0.7016898
150747792,0.631327,0.701887
151749256,0.618639,0.70201856
152750599,0.629031,0.70201856
153751433,0.623463,0.70201856
154753117,0.62645,0.70201856
155755776,0.636244,0.70201856
156756257,0.635284,0.70201856
157757870,0.631594,0.70201856
158759252,0.630478,0.70201856
159761252,0.633936,0.70201856
160764675,0.625618,0.70201856
161767073,0.621401,0.70201856
162769189,0.631036,0.70201856
163770258,0.627492,0.70201856
164773102,0.629386,0.70201856
165779559,0.628644,0.70201856
166780692,0.629413,0.70201856
167782387,0.619271,0.70201856
168786938,0.630234,0.70201856
169787256,0.629118,0.70201856
170788817,0.63492,0.70201856
171789313,0.631871,0.70201856
172791435,0.625806,0.70201856
173792259,0.628187,0.70201856
174793423,0.626294,0.70201856
175794259,0.625916,0.70201856
176797256,0.62719,0.70201856
177798920,0.6317,0.70201856
178801027,0.628331,0.70201856
179802258,0.632366,0.70201856
180806394,0.629935,0.70201856
181807396,0.623932,0.70201856
182808576,0.628635,0.70451707
183809256,0.640788,0.70530605
184811108,0.644911,0.70530605
185815123,0.643182,0.70530605
186816945,0.643936,0.70530605
187817300,0.639489,0.70530605
188819748,0.64986,0.70530605
189821284,0.647709,0.70530605
190825182,0.639694,0.70530605
191827479,0.646305,0.70530605
192830884,0.642618,0.70530605
193833504,0.643846,0.70530605
194835876,0.637094,0.70530605
195836508,0.641757,0.70530605
196838568,0.641551,0.70530605
197840646,0.644495,0.70543754
198841252,0.647835,0.70543754
199842702,0.647717,0.70543754
200845346,0.641069,0.70543754
201847688,0.684059,0.70543754
202848259,0.657086,0.70543754
203852982,0.657583,0.70543754
204853602,0.652192,0.70543754
205855006,0.663392,0.70543754
206859555,0.659062,0.70543754
207860689,0.65297,0.70543754
208861309,0.66243,0.70543754
209863078,0.658958,0.70543754
210865579,0.657468,0.70543754
211867776,0.661298,0.70543754
212872645,0.656321,0.70543754
213875810,0.654783,0.70543754
214877408,0.655646,0.70543754
215880053,0.66149,0.70543754
216882593,0.665785,0.70543754
217883996,0.661519,0.70543754
218885379,0.666077,0.70543754
219887085,0.658588,0.70543754
220890386,0.651828,0.70543754
221891871,0.65725,0.70543754
222892803,0.661777,0.70543754
223898423,0.661489,0.70543754
