timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,manual_home
816719694,40.552505260326086,-74.66324026688638,8.752108,0.61828005,-0.14927906,-6.828639,2.841536,1,1,0
817276291,40.55250453569188,-74.66324141230204,8.750191,0.5377044,-0.24605188,-6.826722,2.8460093,1,1,0
822455731,40.552501651119535,-74.66325174762125,8.581212,0.21695468,-1.1192528,-6.657744,2.8947773,1,1,0
824693126,40.55250149723156,-74.66325539095612,8.629248,0.19984317,-1.4270675,-6.705779,2.9130538,1,1,0
1103767106,40.55250633297873,-74.66323340412076,10.124395,0.7375536,0.4305359,-8.200927,2.9273415,1,1,0
1107467694,40.55250956500585,-74.66324241572475,9.830612,1.0969386,-0.3308281,-7.9071436,2.88482,1,1,0
1111065039,40.552513076577966,-74.6632513122525,9.727459,1.4874077,-1.0824696,-7.8039904,2.8479927,1,1,0
1114267094,40.552516839504925,-74.66325983195766,9.580193,1.9058262,-1.8022743,-7.656724,2.8206644,1,1,0
1118058147,40.55251803700611,-74.66326519611286,9.613409,2.0389824,-2.255476,-7.689941,2.7937486,1,1,0
1127686025,40.55251751978432,-74.66327071413023,9.464154,1.9814701,-2.721677,-7.540686,2.7331567,1,1,0
1142975128,40.55252044474518,-74.6633099567066,9.667094,2.3067129,-6.0371666,-7.743626,0.87110907,1,1,0
1185253192,40.55252438344572,-74.66324653007588,10.346306,2.744674,-0.6784374,-8.422837,2.8651252,1,1,0
1189866281,40.55252997586177,-74.66325167326694,9.934114,3.3665223,-1.1129704,-8.010646,2.9741635,1,1,0
1203665568,40.55252932911825,-74.6632428028141,9.946119,3.2946076,-0.36353204,-8.022651,-3.0899458,1,1,0
1207989535,40.55252591588701,-74.66323771652903,10.189938,2.9150736,0.06619315,-8.26647,-3.0554411,1,1,0
1215321388,40.55252408352445,-74.66324043633094,10.508396,2.7113242,-0.16359489,-8.584928,-3.0267649,1,1,0
1221828240,40.552517137658214,-74.66324545631451,10.634203,1.9389791,-0.58771855,-8.710734,-3.0160072,1,1,0
1225339121,40.552514001435036,-74.66324394803706,11.063215,1.590247,-0.46028864,-9.139748,-3.010635,1,1,0
1295475078,40.55256011478141,-74.66325428885472,11.697704,6.7178173,-1.333953,-9.774236,2.338832,1,1,0
1304270948,40.5525583141165,-74.66324823771724,11.414387,6.5175924,-0.8227106,-9.490919,2.6212993,1,1,0
