timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
30738291,inf,1,0,0,0
32762839,inf,1,0,0,0
33767387,inf,1,0,0,0
34775924,inf,1,0,0,0
35795390,inf,1,0,0,0
36810102,inf,1,0,0,0
37814836,inf,1,0,0,0
38819473,inf,1,0,0,0
39826631,inf,1,0,0,0
40836297,inf,1,0,0,0
41844297,inf,1,0,0,0
42854328,inf,1,0,0,0
43862326,inf,1,0,0,0
44866077,inf,1,0,0,0
45874313,inf,1,0,0,0
46882678,inf,1,0,0,0
47892327,inf,1,0,0,0
48909011,inf,1,0,0,0
49918334,inf,1,0,0,0
50931370,inf,1,0,0,0
51945007,inf,1,0,0,0
52959340,inf,1,0,0,0
53973369,inf,1,0,0,0
54985597,inf,1,0,0,0
55989288,inf,1,0,0,0
56991722,inf,1,0,0,0
58001316,inf,1,0,0,0
59018327,inf,1,0,0,0
60030317,inf,1,0,0,0
61038317,inf,1,0,0,0
62044160,inf,1,0,0,0
63056206,inf,1,0,0,0
64064316,inf,1,0,0,0
65074962,inf,1,0,0,0
66083376,inf,1,0,0,0
67090328,inf,1,0,0,0
68096317,inf,1,0,0,0
69110290,inf,1,0,0,0
70125370,inf,1,0,0,0
71138323,inf,1,0,0,0
72144951,inf,1,0,0,0
73157382,inf,1,0,0,0
74169334,inf,1,0,0,0
75182290,inf,1,0,0,0
76194317,inf,1,0,0,0
77208316,inf,1,0,0,0
78223394,inf,1,0,0,0
79235391,inf,1,0,0,0
80243512,inf,1,0,0,0
81254321,inf,1,0,0,0
82269391,inf,1,0,0,0
83285248,inf,1,0,0,0
84293300,inf,1,0,0,0
85304411,inf,1,0,0,0
86314319,inf,1,0,0,0
87325318,inf,1,0,0,0
88333329,inf,1,0,0,0
89339392,inf,1,0,0,0
90343392,inf,1,0,0,0
91353291,inf,1,0,0,0
92367727,inf,1,0,0,0
93387733,inf,1,0,0,0
94400319,inf,1,0,0,0
95409318,inf,1,0,0,0
96415042,inf,1,0,0,0
97426266,inf,1,0,0,0
98436316,inf,1,0,0,0
99453291,inf,1,0,0,0
100461323,inf,1,0,0,0
101472952,inf,1,0,0,0
102480342,inf,1,0,0,0
103488171,inf,1,0,0,0
104500321,inf,1,0,0,0
105516315,inf,1,0,0,0
106522321,inf,1,0,0,0
107531731,inf,1,0,0,0
108545254,inf,1,0,0,0
109549314,inf,1,0,0,0
110559380,inf,1,0,0,0
111568316,inf,1,0,0,0
112579368,inf,1,0,0,0
113591369,inf,1,0,0,0
114594291,inf,1,0,0,0
115608159,inf,1,0,0,0
116622842,inf,1,0,0,0
117636315,inf,1,0,0,0
118644288,inf,1,0,0,0
119655371,inf,1,0,0,0
120668574,inf,1,0,0,0
121672204,inf,1,0,0,0
122675129,inf,1,0,0,0
123682329,inf,1,0,0,0
124694324,inf,1,0,0,0
125699601,inf,1,0,0,0
126707435,inf,1,0,0,0
127711819,inf,1,0,0,0
128719397,inf,1,0,0,0
130734009,inf,1,0,0,0
131741577,inf,1,0,0,0
132744331,inf,1,0,0,0
133751455,inf,1,0,0,0
134759367,inf,1,0,0,0
135775397,inf,1,0,0,0
136777334,inf,1,0,0,0
137791624,inf,1,0,0,0
138796288,inf,1,0,0,0
139802208,inf,1,0,0,0
140810335,inf,1,0,0,0
141817291,inf,1,0,0,0
142831605,inf,1,0,0,0
143841999,inf,1,0,0,0
144852299,inf,1,0,0,0
145858317,inf,1,0,0,0
146867818,inf,1,0,0,0
147870833,inf,1,0,0,0
148878861,inf,1,0,0,0
149890159,inf,1,0,0,0
150909314,inf,1,0,0,0
151917309,inf,1,0,0,0
152923930,inf,1,0,0,0
153925839,inf,1,0,0,0
154933318,inf,1,0,0,0
155944368,inf,1,0,0,0
156951363,inf,1,0,0,0
157958320,inf,1,0,0,0
158969463,inf,1,0,0,0
159982319,inf,1,0,0,0
160986328,inf,1,0,0,0
161996327,inf,1,0,0,0
163009744,inf,1,0,0,0
164024576,inf,1,0,0,0
165037321,inf,1,0,0,0
166051519,inf,1,0,0,0
167057856,inf,1,0,0,0
168068603,inf,1,0,0,0
169080207,inf,1,0,0,0
170091362,inf,1,0,0,0
171099391,inf,1,0,0,0
172108293,inf,1,0,0,0
173113476,inf,1,0,0,0
174127393,inf,1,0,0,0
