timestamp,roll,pitch,yaw,thrust
30391455,-0.94331235,0.48497054,-0.0143093495,0.0
30419454,-0.94318753,0.48532853,-0.014318464,0.0
30451412,-0.94358593,0.4853461,-0.014324935,0.0
30580228,-0.94357973,0.48508707,-0.014316652,0.0
30608285,-0.9436975,0.48508477,-0.014318858,0.0
30640222,-0.94433117,0.48497957,-0.014325448,0.0
30672220,-0.94394994,0.48482552,-0.014314954,0.0
30705016,-0.94393647,0.48487845,-0.014315771,0.0
30737018,-0.9443701,0.4847858,-0.014320055,0.0
30769021,-0.94446903,0.48471758,-0.014319441,0.0
30797052,-0.94458634,0.4847322,-0.01432168,0.0
30829049,-0.94461757,0.4846004,-0.014318273,0.0
30861008,-0.944934,0.4845779,-0.014322272,0.0
30893055,-0.94490385,0.48488414,-0.014331298,0.0
30925816,-0.94501036,0.4850537,-0.014337577,0.0
30957849,-0.94506425,0.48480144,-0.014330564,0.0
30989829,-0.94524413,0.4852239,-0.014345997,0.0
31017855,-0.94562435,0.48542148,-0.014357372,0.0
31049855,-0.9456623,0.48575085,-0.01436841,0.0
31081816,-0.9453517,0.48595345,-0.01436951,0.0
31114637,-0.94511485,0.48548913,-0.014352287,0.0
31146630,-0.94516265,0.48576352,-0.014360886,0.0
31178649,-0.94510394,0.48603958,-0.0143678505,0.0
31210652,-0.94496775,0.4858866,-0.0143618295,0.0
31242618,-0.9449179,0.48611614,-0.014367847,0.0
31274660,-0.9448081,0.48637286,-0.014373259,0.0
31307438,-0.9445123,0.48660243,-0.014375982,0.0
31339457,-0.944407,0.4865002,-0.0143711455,0.0
32379419,-0.94132835,0.48960328,-0.0144155,0.0
32407418,-0.9409849,0.489446,-0.014406208,0.0
32439414,-0.94112897,0.48953298,-0.01441058,0.0
32471420,-0.94102275,0.48974797,-0.014415735,0.0
32504261,-0.9409887,0.48993713,-0.014420816,0.0
32536249,-0.9407476,0.490079,-0.014421072,0.0
32568276,-0.94075704,0.48994562,-0.014417375,0.0
32596233,-0.9408964,0.4896487,-0.014410469,0.0
32628226,-0.94038826,0.48969072,-0.014403782,0.0
32660220,-0.94027436,0.48985174,-0.014406692,0.0
32692262,-0.9400436,0.489842,-0.014402898,0.0
32725018,-0.93992984,0.4899917,-0.014406016,0.0
32757049,-0.93971086,0.49006033,-0.014404191,0.0
32789008,-0.93946266,0.48997077,-0.014398523,0.0
32817019,-0.9394263,0.48998693,-0.014398401,0.0
32849057,-0.93944645,0.49019796,-0.014404138,0.0
32881018,-0.9392616,0.49022254,-0.014402085,0.0
32913816,-0.9392543,0.490408,-0.014407512,0.0
32945818,-0.9395449,0.4906322,-0.014418477,0.0
32977965,-0.93966323,0.4907507,-0.014423796,0.0
33009901,-0.93946123,0.4910447,-0.014429846,0.0
33041816,-0.9389851,0.490945,-0.014419376,0.0
33073858,-0.9389301,0.4910785,-0.014422731,0.0
33106616,-0.93885225,0.4909692,-0.014418183,0.0
