timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
57635616,11.417037,11.1712675,0.0,0.0,0.0,0.0,0.61675054,1.0874708,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
58140592,10.912669,11.109612,0.0,0.0,0.0,0.0,0.59237653,1.0935543,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
58646014,11.340617,11.059321,0.0,0.0,0.0,0.0,0.57252675,1.098559,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
59150812,11.065508,11.035012,0.0,0.0,0.0,0.0,0.5629094,1.1010003,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
59656562,11.203063,10.999631,0.0,0.0,0.0,0.0,0.5489796,1.1045557,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
60149238,10.591709,10.890962,0.0,0.0,0.0,0.0,0.5500973,1.1042696,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
60654819,11.187778,10.874879,0.0,0.0,0.0,0.0,0.5786875,1.0970008,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
61160432,11.11136,10.858168,0.0,0.0,0.0,0.0,0.5934561,1.0932834,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
61653221,10.989089,10.861966,0.0,0.0,0.0,0.0,0.60889465,1.0894241,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
62158018,10.790399,10.865953,0.0,0.0,0.0,0.0,0.62311774,1.0858928,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
62664652,10.04149,10.775525,0.0,0.0,0.0,0.0,0.6183775,1.0870671,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
63157230,10.606993,10.663237,0.0,0.0,0.0,0.0,0.6016148,1.0912405,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
63662009,10.668128,10.625024,0.0,0.0,0.0,0.0,0.6038516,1.0906818,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
64166830,10.744547,10.5900755,0.0,0.0,0.0,0.0,0.592089,1.0936264,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
64671614,10.71398,10.572739,0.0,0.0,0.0,0.0,0.58618814,1.0951096,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
65165518,10.148477,10.545337,0.0,0.0,0.0,0.0,0.57890254,1.0969465,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
65670026,10.163761,10.511319,0.0,0.0,0.0,0.0,0.5675314,1.0998257,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
66174814,10.790399,10.537927,0.0,0.0,0.0,0.0,0.5779527,1.0971864,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
66667617,10.591709,10.531401,0.0,0.0,0.0,0.0,0.57457334,1.0980409,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
67172608,10.622276,10.530623,0.0,0.0,0.0,0.0,0.5711549,1.0989066,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
67677504,10.83625,10.536238,0.0,0.0,0.0,0.0,0.57096845,1.0989538,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
68170815,9.8428,10.542187,0.0,0.0,0.0,0.0,0.5708044,1.0989953,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
68675635,10.775115,10.494581,0.0,0.0,0.0,0.0,0.5499738,1.1043012,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
69180447,10.545857,10.500528,0.0,0.0,0.0,0.0,0.5475982,1.1049095,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
69673234,10.056774,10.522483,0.0,0.0,0.0,0.0,0.5523723,1.1036876,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
70178002,10.179045,10.523463,0.0,0.0,0.0,0.0,0.5511525,1.1039996,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
70682796,10.652844,10.541933,0.0,0.0,0.0,0.0,0.5563486,1.1026721,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
71176439,10.820967,10.52012,0.0,0.0,0.0,0.0,0.54513437,1.1055412,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
71682025,10.63756,10.554288,0.0,0.0,0.0,0.0,0.55674154,1.1025717,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
72175616,10.805682,10.537315,0.0,0.0,0.0,0.0,0.5507124,1.1041123,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
72680616,10.759831,10.5410185,0.0,0.0,0.0,0.0,0.55152017,1.1039056,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
73186041,10.759831,10.511482,0.0,0.0,0.0,0.0,0.54116327,1.1065608,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
73678812,10.454154,10.540395,0.0,0.0,0.0,0.0,0.5531462,1.1034899,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
74183619,10.133193,10.53273,0.0,0.0,0.0,0.0,0.5459402,1.1053345,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
74677359,10.652844,10.550769,0.0,0.0,0.0,0.0,0.5532349,1.1034672,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
75182803,10.698696,10.552889,0.0,0.0,0.0,0.0,0.5539883,1.1032747,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
75688436,10.148477,10.576845,0.0,0.0,0.0,0.0,0.55917484,1.1019514,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
76181212,10.759831,10.586133,0.0,0.0,0.0,0.0,0.55776817,1.10231,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
76686009,10.668128,10.555418,0.0,0.0,0.0,0.0,0.54298574,1.1060927,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
77190805,10.606993,10.531566,0.0,0.0,0.0,0.0,0.53759223,1.1074792,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
77685217,10.63756,10.503439,0.0,0.0,0.0,0.0,0.53342324,1.1085534,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
78190378,10.71398,10.533489,0.0,0.0,0.0,0.0,0.5403703,1.1067646,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
78694846,10.820967,10.532909,0.0,0.0,0.0,0.0,0.53403026,1.1083969,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
79199637,10.805682,10.549884,0.0,0.0,0.0,0.0,0.5374282,1.1075215,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
79692428,10.515289,10.557473,0.0,0.0,0.0,0.0,0.5339921,1.1084068,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
80198800,10.927954,10.602743,0.0,0.0,0.0,0.0,0.5436714,1.1059166,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
