timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
56655304,inf,1,0,0,0
57669187,inf,1,0,0,0
58675165,inf,1,0,0,0
59682220,inf,1,0,0,0
59806177,inf,0,0,0,0
60823895,inf,0,0,0,0
61831137,inf,0,0,0,0
62845202,inf,0,0,0,0
63853121,inf,0,0,0,0
64861097,inf,0,0,0,0
65865388,inf,0,0,0,0
66883137,inf,0,0,0,0
67895182,inf,0,0,0,0
68907198,inf,0,0,0,0
69914783,inf,0,0,0,0
70919155,inf,0,0,0,0
71939137,inf,0,0,0,0
72948228,inf,0,0,0,0
73961106,inf,0,0,0,0
74972181,inf,0,0,0,0
75976158,inf,0,0,0,0
76983412,inf,0,0,0,0
77991128,inf,0,0,0,0
79002161,inf,0,0,0,0
80014167,inf,0,0,0,0
81020179,inf,0,0,0,0
82021602,inf,0,0,0,0
83033110,inf,0,0,0,0
84044634,inf,0,0,0,0
85049097,inf,0,0,0,0
86055199,inf,0,0,0,0
87063168,inf,0,0,0,0
88070163,inf,0,0,0,0
89070187,inf,0,0,0,0
90079136,inf,0,0,0,0
91089097,inf,0,0,0,0
92106185,inf,0,0,0,0
93115362,inf,0,0,0,0
94123207,inf,0,0,0,0
95139830,inf,0,0,0,0
96140242,inf,0,0,0,0
97149097,inf,0,0,0,0
98155123,inf,0,0,0,0
99163182,inf,0,0,0,0
100168185,inf,0,0,0,0
101179136,inf,0,0,0,0
102182594,inf,0,0,0,0
103189950,inf,0,0,0,0
104191504,inf,0,0,0,0
105199158,inf,0,0,0,0
106206238,inf,0,0,0,0
107207462,inf,0,0,0,0
108211337,inf,0,0,0,0
109221097,inf,0,0,0,0
110227342,inf,0,0,0,0
111240534,inf,0,0,0,0
112251567,inf,0,0,0,0
113257725,inf,0,0,0,0
114269123,inf,0,0,0,0
115275141,inf,0,0,0,0
116276524,inf,0,0,0,0
117287014,inf,0,0,0,0
118295625,inf,0,0,0,0
119302173,inf,0,0,0,0
120315136,inf,0,0,0,0
121329112,inf,0,0,0,0
