timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
58685660,0.03089435,0.05135094,0.003025204,0.8471073,-0.014971799,0.03233858,-0.53022575,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
58713660,0.021411631,0.058562435,0.002725374,0.84707826,-0.014959499,0.03239337,-0.53026915,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
58745649,0.042254407,-0.057958554,-0.013719596,0.84699696,-0.014994063,0.032274984,-0.5304052,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
58777648,-0.030478492,-0.053733546,-4.780991e-05,0.84704494,-0.015056854,0.03214799,-0.53033453,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
58809648,-0.020193635,0.03587793,0.00426085,0.8470525,-0.015062666,0.032241296,-0.5303167,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
58841648,0.009466409,0.045938633,-0.0013603736,0.84693533,-0.014952741,0.03239643,-0.5304975,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
58873685,0.034582857,-0.08881864,0.010173017,0.8469582,-0.015067312,0.032287825,-0.53046423,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
58905648,-0.032026254,0.045278635,-0.01562889,0.8469233,-0.015063779,0.032377668,-0.53051466,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
58937660,0.0044136886,0.030323235,0.009673763,0.84686494,-0.015034719,0.032426618,-0.5306057,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
58965660,0.017466795,0.019602546,0.013835366,0.84688663,-0.015031414,0.032485813,-0.53056735,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
58997648,0.023582779,-0.02451713,-0.010689277,0.8468669,-0.014972815,0.032337554,-0.5306097,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59030448,-0.039026722,-0.016894177,0.0018650466,0.8468199,-0.015151225,0.032435164,-0.5306738,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59062448,0.033802427,0.060929403,-0.0021419944,0.8468204,-0.014972849,0.03240193,-0.5306799,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59094461,0.009346726,-0.055913217,0.0026405314,0.8467824,-0.015029984,0.032391768,-0.53073967,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59126451,-0.018533742,0.0035981275,-0.005472321,0.8467223,-0.015117133,0.032515276,-0.5308255,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59154464,-0.015079174,0.023888675,-0.0054094405,0.84668624,-0.015073308,0.03245413,-0.53088796,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59186448,-0.015990611,0.036442228,0.0033861827,0.84668094,-0.015046908,0.032630734,-0.5308863,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59218448,0.008567676,-0.02995858,-0.01872896,0.84661996,-0.015027129,0.032468773,-0.5309941,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59250448,-0.005177131,-0.03368955,-0.008357514,0.84661025,-0.015064755,0.032448027,-0.53100973,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59282449,-0.014144983,0.038427174,0.01200049,0.8465953,-0.015036446,0.032484233,-0.53103226,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59314453,0.025694864,0.018576054,0.008253188,0.84655,-0.014932813,0.032527063,-0.5311046,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59346448,-0.03014772,-0.069597185,0.0014141202,0.84656954,-0.015090336,0.032384876,-0.5310777,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59378448,-0.0014661034,0.0554906,-0.0078024813,0.84652984,-0.015035044,0.03244482,-0.53113896,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59406448,-0.004759258,0.05490219,-0.00074965414,0.84650207,-0.015023981,0.03247394,-0.5311817,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59438448,0.013232702,-0.012495469,0.0039783185,0.846461,-0.015017315,0.032531563,-0.53124386,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59472065,0.0058930195,0.017641338,-0.0077282004,0.84642667,-0.015046431,0.032586724,-0.5312943,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59504048,-0.03504931,0.041839935,-0.00069552986,0.8464067,-0.015023062,0.032561187,-0.53132826,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59536048,0.041969284,-0.019235268,-0.00026171608,0.8463321,-0.015016887,0.032616135,-0.531444,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59564048,0.05332906,-0.012266703,0.008456035,0.8463407,-0.014957454,0.032488286,-0.5314397,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59596050,-0.033263963,-0.06588643,-0.011005419,0.8463568,-0.015049291,0.03239923,-0.53141713,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59628048,-0.007623554,0.04255425,0.0033574877,0.8462848,-0.015067424,0.03253055,-0.5315231,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59660064,0.001331938,0.038802247,0.011797618,0.8463027,-0.014914368,0.03254534,-0.53149796,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59692049,0.025424201,-0.08429639,-0.015573978,0.846293,-0.015015,0.03239021,-0.5315202,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59724048,-0.024580577,0.0329412,-0.016921142,0.8461997,-0.0150513165,0.032462444,-0.5316633,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59756048,0.054998003,0.032524846,0.016152255,0.8462055,-0.014882706,0.032464433,-0.53165865,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59784848,0.020786779,0.042883284,0.038236767,0.8462621,-0.014925848,0.032529254,-0.5315632,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59816848,0.18982807,-0.16036254,0.021292774,0.84630597,-0.014748517,0.031481322,-0.53156155,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59848848,0.41403526,-0.09924084,-0.027589943,0.8463228,-0.013172666,0.028441679,-0.5317475,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59880848,0.37333718,0.0351981,-0.07510994,0.84582114,-0.00778896,0.024562087,-0.53284395,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59912867,0.49846235,0.22402929,-0.06384938,0.8451095,0.00029282615,0.022088764,-0.53413665,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59944848,0.31904402,0.06106789,-0.12526773,0.84421295,0.0053449115,0.020580513,-0.53558606,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
59976848,0.07522048,-0.062148824,-0.11730446,0.8433716,0.0065147793,0.018807013,-0.53696203,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
60008848,-0.020107938,-0.17166151,-0.08813575,0.84264606,0.004656347,0.017100133,-0.538176,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
60036848,-0.04789331,-0.08984357,-0.05790149,0.84208995,0.003106159,0.01659515,-0.53907293,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
60068848,-0.0012056222,0.1338926,-0.0926024,0.8415599,0.0022806812,0.017823339,-0.539865,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
60100848,-0.07246264,-0.08520534,-0.058854125,0.84101725,0.0004686605,0.018030565,-0.54070765,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
60132848,-0.2702059,-0.10047206,-0.07710569,0.8403905,-0.0011736613,0.018242538,-0.5416731,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
60164850,-0.25959712,-0.19919294,-0.06724842,0.8397037,-0.0045639463,0.01791742,-0.5427301,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
60196848,-0.08626557,-0.10111791,-0.0804,0.8391037,-0.008931798,0.01753588,-0.5436155,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
60225660,-0.15064986,0.14762244,-0.041751046,0.83862036,-0.010106192,0.018495932,-0.5443085,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
60257647,-0.027147416,0.08249101,-0.07582089,0.838,-0.009197787,0.019811217,-0.54523295,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
60289648,0.07064216,0.09567177,-0.09596074,0.8373713,-0.009293993,0.020171069,-0.54618317,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
60321648,-0.004032769,-0.000552129,-0.07447588,0.83675253,-0.009760977,0.019781487,-0.54713684,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
60353648,-0.0037358364,0.08032696,-0.04378232,0.8361579,-0.0090299165,0.019646507,-0.5480624,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
60385648,0.0030251052,0.026946824,0.013562249,0.8359082,-0.007978229,0.01938174,-0.54846907,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
60417648,0.19212218,-0.05706037,0.021328475,0.8361231,-0.007931882,0.018547853,-0.54817075,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
60449660,0.09689191,-0.21150845,0.00030781934,0.83633775,-0.00930508,0.016358737,-0.5478915,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
60477660,-0.07962133,-0.07936299,0.024588205,0.83647317,-0.010346755,0.014565348,-0.5477167,0.99999785,7.851749e-05,0.00012469091,-0.0020647054,3
