timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
55278591,55276149,1200.0,0.36274433,0.0417133,1.4669178,0.0,255,0,6,4,1,0,1,1,1,1,36
56203491,56202184,1200.0,0.36274433,0.041789837,1.0566859,0.0,255,0,6,4,1,0,1,1,1,1,36
57199968,57190188,1200.0,0.36274433,0.04175025,1.0119464,0.0,255,0,6,4,1,0,1,1,1,1,36
58202935,57190188,1200.0,0.36274433,0.041788965,1.6914581,0.0,255,0,6,4,1,0,1,1,1,1,36
58342309,58340147,1200.0,0.36274433,0.041788965,1.6914581,0.0,255,0,6,4,1,0,1,1,1,1,36
59261153,59252173,1200.0,0.36274433,0.041751742,1.1501611,0.0,255,0,6,4,1,0,1,1,1,1,36
60228303,60220157,1200.0,0.36274433,0.041961353,1.5985277,0.0,255,0,6,4,1,0,1,1,1,1,36
61237153,60220157,1200.0,0.36274433,0.041744936,1.2692449,0.0,255,0,6,4,1,0,1,1,1,1,36
61287191,61282181,1200.0,0.36274433,0.041744936,1.2692449,0.0,255,0,6,4,1,0,1,1,1,1,36
62213333,62213070,1200.0,0.36274433,0.041627306,1.2398992,0.0,255,0,6,4,1,0,1,1,1,1,36
63222534,63219108,1200.0,0.36274433,0.041835293,1.3656235,0.0,255,0,6,4,1,0,1,1,1,1,36
64232736,63219108,1200.0,0.36274433,0.041870076,1.3817126,0.0,255,0,6,4,1,0,1,1,1,1,36
64272785,64272530,1200.0,0.36274433,0.041870076,1.3817126,0.0,255,0,6,4,1,0,1,1,1,1,36
65199454,65194134,1200.0,0.36274433,0.067668624,1.2150499,0.0,255,0,6,4,1,0,1,1,1,1,36
66202453,65194134,1200.0,0.36274433,0.04182871,1.4500619,0.0,255,0,6,4,1,0,1,1,1,1,36
66222323,66216152,1200.0,0.36274433,0.04182871,1.4500619,0.0,255,0,6,4,1,0,1,1,1,1,36
67227339,66216152,1200.0,0.36274433,0.04171198,1.1192714,0.0,255,0,6,4,1,0,1,1,1,1,36
67277424,67271453,1200.0,0.36274433,0.04171198,1.1192714,0.0,255,0,6,4,1,0,1,1,1,1,36
68259521,68256232,1200.0,0.36274433,0.041704107,1.0545181,0.0,255,0,6,4,1,0,1,1,1,1,36
69215440,69214129,1200.0,0.36274433,0.04162929,1.7632978,0.0,255,0,6,4,1,0,1,1,1,1,36
70219462,69214129,1200.0,0.36274433,0.041745268,1.0118258,0.0,255,0,6,4,1,0,1,1,1,1,36
70269166,70267967,1200.0,0.36274433,0.041745268,1.0118258,0.0,255,0,6,4,1,0,1,1,1,1,36
71181777,71181512,1200.0,0.36274433,0.041916166,1.5688622,0.0,255,0,6,4,1,0,1,1,1,1,36
