timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
57641882,-0.0,-0.0,-1.1171141,0.0,0.8480207,-0.0,0.0,-0.5299631,0.0,0.0,-0.0,1,0,0,0,0,0
57741916,-0.0,-0.0,-1.116941,0.0,0.84806657,-0.0,0.0,-0.5298897,0.0,0.0,-0.0,1,0,0,0,0,0
57841958,-0.0,-0.0,-1.116899,0.0,0.8480777,-0.0,0.0,-0.52987194,0.0,0.0,-0.0,1,0,0,0,0,0
57941978,-0.0,-0.0,-1.11705,0.0,0.84803766,-0.0,0.0,-0.52993596,0.0,0.0,-0.0,1,0,0,0,0,0
58041999,-0.0,-0.0,-1.1172704,0.0,0.8479793,-0.0,0.0,-0.53002936,0.0,0.0,-0.0,1,0,0,0,0,0
58142017,-0.0,-0.0,-1.1177768,0.0,0.8478451,-0.0,0.0,-0.53024405,0.0,0.0,-0.0,1,0,0,0,0,0
58242333,-0.0,-0.0,-1.1180706,0.0,0.8477671,-0.0,0.0,-0.5303686,0.0,0.0,-0.0,1,0,0,0,0,0
58342141,-0.0,-0.0,-1.1184872,0.0,0.8476566,-0.0,0.0,-0.53054523,0.0,0.0,-0.0,1,0,0,0,0,0
58442157,-0.0,-0.0,-1.118904,0.0,0.84754604,-0.0,0.0,-0.53072184,0.0,0.0,-0.0,1,0,0,0,0,0
58542194,-0.0,-0.0,-1.1192507,0.0,0.8474541,-0.0,0.0,-0.5308687,0.0,0.0,-0.0,1,0,0,0,0,0
58642316,-0.0,-0.0,-1.1195953,0.0,0.8473626,-0.0,0.0,-0.53101474,0.0,0.0,-0.0,1,0,0,0,0,0
58742327,-0.0,-0.0,-1.1200402,0.0,0.84724444,-0.0,0.0,-0.5312032,0.0,0.0,-0.0,1,0,0,0,0,0
58842350,-0.0,-0.0,-1.1203144,0.0,0.8471716,-0.0,0.0,-0.5313194,0.0,0.0,-0.0,1,0,0,0,0,0
58962991,-0.0,-0.0,-1.1205572,0.0,0.8471071,-0.0,0.0,-0.5314222,0.0,0.0,-0.0,1,0,0,0,0,0
59062339,-0.0,-0.0,-1.1207372,0.0,0.84705925,-0.0,0.0,-0.5314985,0.0,0.0,-0.0,1,0,0,0,0,0
59162404,-0.0,-0.0,-1.1212633,0.0,0.8469194,-0.0,0.0,-0.5317213,0.0,0.0,-0.0,1,0,0,0,0,0
59262757,-0.0,-0.0,-1.1215091,0.0,0.8468541,-0.0,0.0,-0.5318253,0.0,0.0,-0.0,1,0,0,0,0,0
59362781,-0.0,-0.0,-1.1217701,0.0,0.84678465,-0.0,0.0,-0.5319359,0.0,0.0,-0.0,1,0,0,0,0,0
59462589,-0.0,-0.0,-1.1222162,0.0,0.846666,-0.0,0.0,-0.53212476,0.0,0.0,-0.0,1,0,0,0,0,0
59562645,-0.0,-0.0,-1.1226003,0.0,0.84656376,-0.0,0.0,-0.53228736,0.0,0.0,-0.0,1,0,0,0,0,0
59662662,-0.0,-0.0,-1.1227173,0.0,0.84653264,-0.0,0.0,-0.53233683,0.0,0.0,-0.0,1,0,0,0,0,0
59762691,-0.00096433837,0.0002457905,-1.1230563,0.0,0.84644234,-0.0003426891,0.00036076928,-0.5324802,0.0,0.0,-0.50569427,1,0,0,0,0,0
59862711,-0.018480662,0.004310314,-1.1234922,0.0,0.8462988,-0.00667228,0.006745805,-0.53262395,0.0,0.0,-0.4947979,1,0,0,0,0,0
59962768,-0.01660832,0.007053724,-1.1324542,0.0,0.8439123,-0.005116091,0.007431022,-0.53640527,0.0,0.0,-0.4454185,1,0,0,0,0,0
60062795,-0.024500985,0.0014468025,-1.1404927,0.0,0.84170943,-0.009921321,0.0072220215,-0.53979135,0.0,0.0,-0.41047972,1,0,0,0,0,0
60162824,-0.027100183,-0.0008788332,-1.1476741,0.0,0.8397438,-0.0116178645,0.0069865575,-0.54281366,0.0,0.0,-0.41211984,1,0,0,0,0,0
60282833,-0.02428926,0.0016844295,-1.1557606,0.0,0.83756596,-0.009712335,0.007339241,-0.54620063,0.0,0.0,-0.41917095,1,0,0,0,0,0
60382926,-0.02185603,-0.017068475,-1.1184872,-0.0,0.84752566,-0.013790159,-0.0014361037,-0.53057325,0.0,0.0,-0.41638365,1,0,0,0,0,0
60482989,-0.013845772,-0.0023241276,-1.1184872,0.0,0.8476315,-0.0064846925,0.0026878647,-0.530539,0.0,0.0,-0.4087988,1,0,0,0,0,0
60583151,-0.0053248624,-0.007250568,-1.1184872,0.0,0.84764296,-0.0041801753,-0.0016604492,-0.530548,0.0,0.0,-0.40350354,1,0,0,0,0,0
60683124,-0.009874201,-0.007141884,-1.1184872,0.0,0.8476316,-0.006079441,-0.00040756163,-0.5305503,0.0,0.0,-0.40291882,1,0,0,0,0,0
