timestamp,previous.timestamp,previous.lat,previous.lon,previous.x,previous.y,previous.z,previous.vx,previous.vy,previous.vz,previous.alt,previous.yaw,previous.yawspeed,previous.loiter_radius,previous.pitch_min,previous.a_x,previous.a_y,previous.a_z,previous.acceptance_radius,previous.cruising_speed,previous.cruising_throttle,previous.valid,previous.type,previous.position_valid,previous.velocity_valid,previous.velocity_frame,previous.alt_valid,previous.yaw_valid,previous.yawspeed_valid,previous.landing_gear,previous.loiter_direction,previous.acceleration_valid,previous.acceleration_is_force,current.timestamp,current.lat,current.lon,current.x,current.y,current.z,current.vx,current.vy,current.vz,current.alt,current.yaw,current.yawspeed,current.loiter_radius,current.pitch_min,current.a_x,current.a_y,current.a_z,current.acceptance_radius,current.cruising_speed,current.cruising_throttle,current.valid,current.type,current.position_valid,current.velocity_valid,current.velocity_frame,current.alt_valid,current.yaw_valid,current.yawspeed_valid,current.landing_gear,current.loiter_direction,current.acceleration_valid,current.acceleration_is_force,next.timestamp,next.lat,next.lon,next.x,next.y,next.z,next.vx,next.vy,next.vz,next.alt,next.yaw,next.yawspeed,next.loiter_radius,next.pitch_min,next.a_x,next.a_y,next.a_z,next.acceptance_radius,next.cruising_speed,next.cruising_throttle,next.valid,next.type,next.position_valid,next.velocity_valid,next.velocity_frame,next.alt_valid,next.yaw_valid,next.yawspeed_valid,next.landing_gear,next.loiter_direction,next.acceleration_valid,next.acceleration_is_force
82507467,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0,0,0,0,0,0,0,0,0,0,32.388365939302204,-117.07722280348139,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,1.8190902,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,1,0,0,-1,0,0,0,32.3878862,-117.0769504,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
89057796,0,32.388365939302204,-117.07722280348139,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,1.8190902,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,1,0,0,-1,0,0,0,32.3878862,-117.0769504,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,32.3877963,-117.0769504,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
105516382,0,32.388365939302204,-117.07722280348139,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,1.8190902,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,1,0,0,-1,0,0,0,32.3878862,-117.0769504,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,32.3877963,-117.0769504,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
105562990,0,32.3878862,-117.0769504,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,32.3877963,-117.0769504,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,32.3872192,-117.0769504,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
111967124,0,32.3878862,-117.0769504,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,32.3877963,-117.0769504,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,32.3872192,-117.0769504,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
112013006,0,32.3877963,-117.0769504,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,32.3872192,-117.0769504,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,32.3871292,-117.0769504,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
129466995,0,32.3872192,-117.0769504,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,32.3871292,-117.0769504,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,32.3871281,-117.0772167,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
135970412,0,32.3871292,-117.0769504,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,32.3871281,-117.0772167,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,32.387218,-117.0772167,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
145473010,0,32.3871281,-117.0772167,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,32.387218,-117.0772167,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,32.3878019,-117.0772166,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
151777010,0,32.3871281,-117.0772167,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,32.387218,-117.0772167,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,32.3878019,-117.0772166,0.0,0.0,0.0,0.0,0.0,0.0,46.072952,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
