timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
57633049,0.09084575,0.20546798,0.3957212
57655046,0.08188625,0.21425807,0.40834498
57677049,0.07591324,0.20546798,0.3894093
57699049,0.07591324,0.20546798,0.39256525
57719050,0.07889974,0.19960792,0.39256525
57741050,0.07889974,0.20546798,0.3957212
57764422,0.08785925,0.20546798,0.39256525
57788349,0.07591324,0.20839801,0.39256525
57812401,0.08188625,0.20546798,0.3957212
57833111,0.07889974,0.21425807,0.40518904
57854169,0.08188625,0.20546798,0.40518904
57877050,0.07591324,0.20839801,0.3957212
57900349,0.07889974,0.20253795,0.3894093
57924431,0.07889974,0.21132804,0.4020331
57946060,0.07591324,0.20839801,0.39256525
57968365,0.08487275,0.19960792,0.3957212
57990046,0.08188625,0.19960792,0.38625333
58011093,0.07889974,0.20546798,0.39887714
58032350,0.07591324,0.20546798,0.3830974
58053317,0.07591324,0.21132804,0.40834498
58075980,0.07591324,0.20839801,0.3957212
58098182,0.07889974,0.21132804,0.40518904
58120374,0.07889974,0.20839801,0.4020331
58142967,0.08188625,0.20253795,0.38625333
58165734,0.07889974,0.20839801,0.40518904
58187984,0.08188625,0.20839801,0.3957212
58210784,0.08188625,0.19960792,0.39256525
58233960,0.07889974,0.21132804,0.40518904
58255010,0.06994024,0.20546798,0.3957212
58278550,0.08487275,0.20253795,0.3957212
58301545,0.07591324,0.20546798,0.3957212
58324130,0.08188625,0.20253795,0.39256525
58346957,0.08785925,0.20546798,0.40518904
58369924,0.08487275,0.20253795,0.39887714
58392184,0.08487275,0.19960792,0.3957212
58415046,0.08188625,0.20546798,0.3957212
58436128,0.07591324,0.20839801,0.3957212
58458121,0.07889974,0.20839801,0.4020331
58478528,0.08487275,0.20253795,0.4020331
58501577,0.07889974,0.21425807,0.4020331
58525626,0.08487275,0.20546798,0.3957212
58548129,0.07889974,0.20253795,0.39256525
58571170,0.08188625,0.20253795,0.3957212
58594716,0.08188625,0.20546798,0.3894093
58617046,0.08487275,0.20253795,0.39887714
58640129,0.08188625,0.20546798,0.3957212
58661048,0.07591324,0.20546798,0.39887714
58683049,0.08487275,0.20253795,0.3957212
58704108,0.07591324,0.20546798,0.39256525
58725110,0.07591324,0.20546798,0.3894093
58748108,0.08487275,0.19960792,0.3957212
58769109,0.07889974,0.21132804,0.40518904
58792109,0.07889974,0.20253795,0.3894093
58813108,0.08487275,0.20839801,0.4020331
58836130,0.072926745,0.20546798,0.3894093
58857110,0.08188625,0.19960792,0.38625333
58880190,0.07889974,0.21132804,0.40834498
58903047,0.07889974,0.20839801,0.4020331
58926338,0.07889974,0.20839801,0.4020331
58947093,0.07889974,0.20253795,0.38625333
58968136,0.07889974,0.21132804,0.3957212
58990334,0.08188625,0.20839801,0.40834498
59013052,0.08188625,0.19960792,0.3830974
59035445,0.08188625,0.20839801,0.40518904
59057054,0.07591324,0.20546798,0.3957212
59077905,0.07889974,0.20253795,0.3957212
59101053,0.08188625,0.19960792,0.3957212
59123466,0.07889974,0.20839801,0.4020331
59146046,0.08188625,0.20839801,0.40834498
59169123,0.07889974,0.20839801,0.4146569
59191155,0.07889974,0.20253795,0.3894093
59214047,0.07591324,0.20839801,0.39256525
59236132,0.07889974,0.20253795,0.3830974
59258161,0.07591324,0.20839801,0.39256525
59280107,0.072926745,0.20546798,0.38625333
59303173,0.08785925,0.20253795,0.39887714
59326174,0.07889974,0.20546798,0.3957212
59349050,0.08487275,0.20253795,0.39256525
59370047,0.07889974,0.21132804,0.4020331
59392133,0.08188625,0.20546798,0.38625333
59414118,0.07889974,0.20839801,0.3957212
59437112,0.07591324,0.20546798,0.39256525
59458165,0.08188625,0.20253795,0.39256525
59481050,0.08188625,0.21132804,0.41150096
59502046,0.08487275,0.20546798,0.3957212
59523052,0.07889974,0.20253795,0.39256525
59545347,0.072926745,0.20546798,0.39256525
59569326,0.07889974,0.20839801,0.40834498
59591982,0.08188625,0.19960792,0.3830974
59613332,0.07591324,0.20839801,0.39256525
59636353,0.08188625,0.20253795,0.38625333
59659151,0.07591324,0.20839801,0.39887714
59681321,0.08188625,0.20253795,0.3830974
59705501,0.08785925,0.20253795,0.3957212
59729319,0.07889974,0.20546798,0.3957212
59753320,0.08188625,0.21132804,0.40518904
59775989,0.08487275,0.19960792,0.3957212
59799055,0.09084575,0.22304817,0.40834498
59821936,0.08188625,0.2259782,0.41781282
59844128,0.08487275,0.2171881,0.40834498
59866560,0.08188625,0.22304817,0.40518904
59889599,0.08188625,0.22011812,0.39256525
59911959,0.08487275,0.22304817,0.38625333
59935114,0.08188625,0.22304817,0.3704736
59957996,0.07591324,0.23476827,0.38625333
59979957,0.07591324,0.23183824,0.3830974
