timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
57639248,0.051478416,-0.00071043335,-0.13887648,0.021290004,-0.040079564,-0.09233093,0.0,0.0,0.0,-0.016518831,0.0,0.0,0.0,0.0,0.0,0.2641143,0.26410854,0.5726419,0.6590012,0.65899575,4.055541,0.0,0.0,0.0,0.09022158,0.0,0.0,0.0,0.0,0.0,0.000404256,0.0018966092,0.0042368844,0.0,0.0,0.0,0.0,0.0,0.0
57840048,-0.0023753867,0.06915538,-0.03980149,0.009332061,-0.03267628,-0.08563423,0.0,0.0,0.0,0.032225728,0.0,0.0,0.0,0.0,0.0,0.26411456,0.26410887,0.5726153,0.6590051,0.6589998,4.0553246,0.0,0.0,0.0,0.09022102,0.0,0.0,0.0,0.0,0.0,0.0002458206,0.0044093006,0.009320423,0.0,0.0,0.0,0.0,0.0,0.0
58048050,0.018424628,-0.028477129,-0.063417025,0.015192091,-0.032528937,0.07755852,0.0,0.0,0.0,0.04925382,0.0,0.0,0.0,0.0,0.0,0.2641219,0.26411623,0.5725964,0.65904605,0.65904075,4.055279,0.0,0.0,0.0,0.09022039,0.0,0.0,0.0,0.0,0.0,0.0007599473,0.0030441317,0.007160775,0.0,0.0,0.0,0.0,0.0,0.0
58248848,0.005441468,-0.019802982,-0.0696673,0.007961214,-0.03239295,-0.19844055,0.0,0.0,0.0,0.04648173,0.0,0.0,0.0,0.0,0.0,0.26411444,0.26410887,0.5725796,0.6590453,0.65904003,4.054829,0.0,0.0,0.0,0.09021916,0.0,0.0,0.0,0.0,0.0,0.0012752656,0.004600048,0.011894117,0.0,0.0,0.0,0.0,0.0,0.0
58448848,0.037032306,0.05410084,-0.02786218,0.014864087,-0.023275167,-0.30034637,0.0,0.0,0.0,0.004233837,0.0,0.0,0.0,0.0,0.0,0.26411623,0.2641107,0.5725688,0.65904516,0.6590399,4.0550184,0.0,0.0,0.0,0.090218246,0.0,0.0,0.0,0.0,0.0,0.001264456,0.0063460045,0.018793305,0.0,0.0,0.0,0.0,0.0,0.0
58657660,0.028701257,-0.0068392735,0.006474547,0.0076493025,-0.022161245,-0.19693375,0.0,0.0,0.0,0.020837188,0.0,0.0,0.0,0.0,0.0,0.26412255,0.26411706,0.57256037,0.66061926,0.66061413,4.0548897,0.0,0.0,0.0,0.090217344,0.0,0.0,0.0,0.0,0.0,0.0009054263,0.00625185,0.020736085,0.0,0.0,0.0,0.0,0.0,0.0
58857648,0.060610868,0.015521221,-0.031045232,0.013410211,-0.02497384,0.06357765,0.0,0.0,0.0,0.0034290552,0.0,0.0,0.0,0.0,0.0,0.26412088,0.26411545,0.57255083,0.6606314,0.66062635,4.0547943,0.0,0.0,0.0,0.09021669,0.0,0.0,0.0,0.0,0.0,0.0006488123,0.0022490635,0.0076988074,0.0,0.0,0.0,0.0,0.0,0.0
59058448,0.056491345,0.035164006,0.0031764098,0.015883505,-0.019762993,0.18474579,0.0,0.0,0.0,0.033364296,0.0,0.0,0.0,0.0,0.0,0.26412085,0.26411545,0.5725443,0.66067874,0.66067374,4.054698,0.0,0.0,0.0,0.09021565,0.0,0.0,0.0,0.0,0.0,0.0008558849,0.0040261606,0.010154519,0.0,0.0,0.0,0.0,0.0,0.0
59266448,0.0507905,0.006264001,-0.022890005,0.019132137,-0.007494062,0.14501572,0.0,0.0,0.0,0.01731646,0.0,0.0,0.0,0.0,0.0,0.26417693,0.26417157,0.5725749,0.66105545,0.6610504,4.054474,0.0,0.0,0.0,0.09021479,0.0,0.0,0.0,0.0,0.0,0.0009246281,0.003163375,0.009451058,0.0,0.0,0.0,0.0,0.0,0.0
59468049,-4.6528876e-05,-0.011716893,-0.039536987,0.011049092,-0.0133835375,0.019891739,0.0,0.0,0.0,0.05162108,0.0,0.0,0.0,0.0,0.0,0.26411074,0.2641055,0.572538,0.66067886,0.6606739,4.0545764,0.0,0.0,0.0,0.09021414,0.0,0.0,0.0,0.0,0.0,0.0010082042,0.003676008,0.011028292,0.0,0.0,0.0,0.0,0.0,0.0
