timestamp,load,ram_usage
57279836,0.33917207,0.5004614
58280177,0.5000415,0.5005602
59281231,0.44073647,0.5005602
60283405,0.441274,0.5005602
61284943,0.43856835,0.5005602
62285092,0.42817152,0.5005602
63286182,0.46405548,0.5005602
64287177,0.4587124,0.5005602
65288176,0.47064054,0.5005602
66289093,0.45853752,0.5005602
67289184,0.45828938,0.5005602
68291339,0.45878613,0.5005602
69292815,0.44570434,0.5005602
70293092,0.44048786,0.5005602
71294158,0.42688853,0.5005602
72295181,0.44137788,0.5005602
73296154,0.45788425,0.5005602
74297153,0.46684957,0.5005602
75298206,0.46362752,0.5005602
76299500,0.45418173,0.5005602
77301217,0.45842332,0.5005602
78302668,0.62157476,0.5005602
79303199,0.7128445,0.5005602
80304270,0.47564209,0.5005602
81305232,0.4675752,0.5005602
82306158,0.45827436,0.5005602
83307178,0.46603906,0.5015159
84308295,0.46472973,0.5015159
85309093,0.51078343,0.5015159
86310385,0.46240813,0.5015159
87311132,0.4410556,0.5015159
88311555,0.43444514,0.5015159
89311203,0.42661875,0.5015159
90312298,0.46268737,0.5015159
91313096,0.45377517,0.5015159
92314157,0.4632128,0.5015159
93315503,0.46398133,0.5015159
94316272,0.4696958,0.5015159
95317641,0.4425977,0.5015159
96319727,0.43151784,0.5015159
97321428,0.42895472,0.5015159
98322727,0.4385044,0.5015159
99323131,0.44517493,0.5015159
100324181,0.43124264,0.5015159
101325209,0.46059442,0.5015159
102326406,0.47242218,0.5015159
103327132,0.46567404,0.5015159
104328179,0.45764554,0.5015159
105329323,0.4720012,0.5015159
106330154,0.4710886,0.5015159
107331218,0.4713832,0.5015159
108332266,0.46622837,0.5015159
109333556,0.45902383,0.5015159
110334333,0.45714545,0.5015159
111335177,0.43806428,0.5015159
112336154,0.43456936,0.5015159
113337092,0.44396853,0.5015159
114338207,0.46106988,0.5015159
115339232,0.466752,0.5015159
116342127,0.4512676,0.5015159
117342711,0.461825,0.5015159
118343915,0.4414283,0.5015159
119343350,0.4288233,0.5015159
120344178,0.43062055,0.5015159
121345092,0.43320006,0.5015159
122346155,0.42927772,0.5015159
123347131,0.43205935,0.5015159
124348207,0.42084432,0.5015159
125349383,0.44814867,0.5015159
126350380,0.46570683,0.5015159
127350180,0.46990198,0.5015159
128351131,0.46458578,0.5015159
129352185,0.45899868,0.5015159
130353595,0.44640124,0.5015159
131354293,0.44932103,0.5015159
132355382,0.46677613,0.5015159
133356184,0.4549126,0.5015159
134357092,0.4651696,0.5015159
135358664,0.43679935,0.5015159
136359205,0.44303077,0.5015159
137360236,0.46663535,0.5015159
138361122,0.45712012,0.5015159
139362415,0.46265304,0.5015159
140364810,0.46377808,0.5015159
141364790,0.4660977,0.5015159
142368229,0.45601493,0.5015159
143369092,0.45554686,0.5015159
144370160,0.46829432,0.5015159
145371738,0.45918334,0.5015159
146374176,0.46446687,0.5015159
147374544,0.46970224,0.5015159
148375157,0.46133,0.5015159
149376178,0.4579091,0.5015159
150378021,0.48282766,0.5015159
151380290,0.45750898,0.5015159
152381975,0.45350897,0.5015159
153383835,0.46756738,0.5015159
154385582,0.46843094,0.5015159
155387002,0.46293962,0.5015159
156388965,0.46361881,0.5015159
157389140,0.635165,0.5015159
158389122,0.53808624,0.5015159
159390653,0.4329731,0.5015159
160391188,0.43311775,0.5015159
161392771,0.42557788,0.5015159
162396164,0.4466589,0.5015159
163396589,0.4356261,0.5015159
164397609,0.4346115,0.5015159
165398156,0.4301507,0.5015159
166399420,0.43641746,0.5015159
167400154,0.43202174,0.5015159
168401093,0.4462189,0.5015159
169402987,0.4620993,0.5015159
170404473,0.46434236,0.5015159
171405887,0.47222322,0.5015159
172407186,0.45949733,0.5015159
173407132,0.44966066,0.5015159
174408279,0.4533369,0.5015159
175409997,0.46888393,0.5015159
176411132,0.45124036,0.5015159
177412177,0.45945597,0.5015159
178413227,0.4614575,0.5015159
179414203,0.47216165,0.5015159
180415133,0.45379305,0.5015159
181416236,0.4578514,0.5015159
182417581,0.45858622,0.5015159
183417225,0.43971288,0.5015159
184418697,0.45208454,0.5015159
185419132,0.45924205,0.5015159
186420180,0.46099544,0.5015159
187421204,0.4617895,0.5015159
188422620,0.46935248,0.5015159
189423740,0.46364218,0.5015159
190424156,0.44614053,0.5015159
191425139,0.43668425,0.5015159
192426154,0.44754738,0.5015159
193427132,0.4616294,0.5015159
194428218,0.45227075,0.5015159
195429215,0.46029198,0.5015159
196430301,0.470662,0.5015159
197431136,0.4708464,0.5015159
198432296,0.46331918,0.5015159
199433213,0.45440924,0.5015159
200434766,0.44670904,0.5015159
201437440,0.4267463,0.5015159
202438319,0.43061364,0.5015159
203439131,0.54987216,0.5015159
204440557,0.42621964,0.5015159
205442311,0.43529224,0.5015159
206443594,0.4308899,0.5015159
207444582,0.42501587,0.5015159
208445138,0.42455244,0.5015159
209446162,0.43657947,0.5015159
210447131,0.44605196,0.5015159
211448515,0.46451634,0.5015159
212449097,0.47137773,0.5015159
213450780,0.46209383,0.5015159
214451369,0.45689756,0.5015159
215452175,0.4683144,0.5015159
216453617,0.46308178,0.5015159
217454159,0.4696284,0.5015159
218455132,0.46570927,0.5015159
219457164,0.46716404,0.5015159
220458178,0.4740023,0.5015159
221459502,0.4622355,0.5015159
222509231,0.5271014,0.5015159
223510384,0.46190304,0.5015159
224511353,0.44405925,0.5015159
225513958,0.43919438,0.5015159
226514791,0.43234414,0.5015159
227515431,0.42434072,0.5015159
228516402,0.44247383,0.5015159
229517157,0.5497297,0.5015159
230518157,0.45019954,0.5015159
231519134,0.4308793,0.5015159
232521877,0.43003893,0.5015159
233523845,0.43244666,0.5015159
234523132,0.4317072,0.5015159
235523136,0.43896103,0.5015159
236525404,0.42261094,0.5015159
237527001,0.43124574,0.5015159
238527316,0.4377364,0.5015159
239528632,0.4457789,0.5015159
240529092,0.43852472,0.5015159
241530424,0.43542004,0.5015159
242530154,0.44563586,0.5015159
243531483,0.43694723,0.5015159
244532416,0.4375249,0.5015159
245533096,0.45076847,0.5015159
246534609,0.43267417,0.5015159
247535533,0.42725718,0.5015159
248537967,0.43572843,0.5015159
249542421,0.43809742,0.5015159
250543230,0.42391872,0.5015159
251544153,0.44156712,0.5015159
252545592,0.4416381,0.5015159
253545091,0.44499326,0.5015159
254546206,0.4441833,0.5015159
255593125,0.5477348,0.5015159
256594154,0.6568099,0.5015159
257595351,0.42191267,0.5015159
258595132,0.49713898,0.5015159
