timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
57644329,5.0563474,3.3725097,1,0,1,0,1,0,0
58144330,4.84043,3.3708985,1,0,1,0,1,0,0
58644329,5.053125,3.3708985,1,0,1,0,1,0,0
59154341,4.954834,3.369287,1,0,1,0,1,0,0
59654341,5.038623,3.3708985,1,0,1,0,1,0,0
60154343,4.941943,3.3708985,1,0,1,0,1,0,0
60654342,5.0321774,3.369287,1,0,1,0,1,0,0
61154341,5.0466795,3.369287,1,0,1,0,1,0,0
61654342,5.033789,3.3676758,1,0,1,0,1,0,0
62164348,5.030566,3.3708985,1,0,1,0,1,0,0
62664330,4.887158,3.3708985,1,0,1,0,1,0,0
63164329,5.0257325,3.3708985,1,0,1,0,1,0,0
63664329,4.9870605,3.3708985,1,0,1,0,1,0,0
64164329,5.030566,3.3708985,1,0,1,0,1,0,0
64674342,4.990283,3.3708985,1,0,1,0,1,0,0
65174342,4.861377,3.3725097,1,0,1,0,1,0,0
65674343,5.043457,3.3708985,1,0,1,0,1,0,0
66174342,5.0225096,3.369287,1,0,1,0,1,0,0
66674342,5.0515137,3.369287,1,0,1,0,1,0,0
67174341,5.0208983,3.369287,1,0,1,0,1,0,0
67674342,5.043457,3.369287,1,0,1,0,1,0,0
68174371,4.914551,3.3725097,1,0,1,0,1,0,0
68674341,5.0273438,3.3708985,1,0,1,0,1,0,0
69174341,4.9870605,3.369287,1,0,1,0,1,0,0
69674358,4.995117,3.3708985,1,0,1,0,1,0,0
70174343,4.9129395,3.3708985,1,0,1,0,1,0,0
70674343,5.0273438,3.3708985,1,0,1,0,1,0,0
71184329,5.0466795,3.3708985,1,0,1,0,1,0,0
71684329,5.019287,3.3708985,1,0,1,0,1,0,0
72184336,5.024121,3.3708985,1,0,1,0,1,0,0
72684329,5.028955,3.3708985,1,0,1,0,1,0,0
73184329,5.0273438,3.3708985,1,0,1,0,1,0,0
73684330,5.0225096,3.3708985,1,0,1,0,1,0,0
74184330,4.8984375,3.3708985,1,0,1,0,1,0,0
74684329,5.0128417,3.3708985,1,0,1,0,1,0,0
75184329,5.0015626,3.3725097,1,0,1,0,1,0,0
75684329,4.903271,3.3708985,1,0,1,0,1,0,0
76194342,4.9967284,3.3725097,1,0,1,0,1,0,0
76694353,4.8742676,3.369287,1,0,1,0,1,0,0
77194342,5.0257325,3.3708985,1,0,1,0,1,0,0
77694343,5.0354004,3.369287,1,0,1,0,1,0,0
78194354,5.014453,3.3708985,1,0,1,0,1,0,0
78694366,5.0273438,3.369287,1,0,1,0,1,0,0
79194351,5.0466795,3.369287,1,0,1,0,1,0,0
79694341,4.9097166,3.369287,1,0,1,0,1,0,0
80204329,5.030566,3.3708985,1,0,1,0,1,0,0
80704329,5.0499024,3.3708985,1,0,1,0,1,0,0
81204338,4.929053,3.3708985,1,0,1,0,1,0,0
81704329,5.040234,3.3708985,1,0,1,0,1,0,0
82204329,4.993506,3.369287,1,0,1,0,1,0,0
82704329,4.891992,3.3708985,1,0,1,0,1,0,0
83204352,5.0450683,3.3725097,1,0,1,0,1,0,0
83704329,5.028955,3.3708985,1,0,1,0,1,0,0
84214368,4.92583,3.369287,1,0,1,0,1,0,0
84714360,4.9242187,3.3708985,1,0,1,0,1,0,0
85214345,5.028955,3.369287,1,0,1,0,1,0,0
85714341,4.890381,3.3708985,1,0,1,0,1,0,0
86214342,5.0354004,3.3708985,1,0,1,0,1,0,0
86714350,5.0482907,3.3708985,1,0,1,0,1,0,0
87214342,5.030566,3.3708985,1,0,1,0,1,0,0
87714377,4.995117,3.369287,1,0,1,0,1,0,0
88214344,4.9596677,3.3708985,1,0,1,0,1,0,0
88714351,5.0466795,3.3725097,1,0,1,0,1,0,0
89224330,4.9870605,3.3725097,1,0,1,0,1,0,0
89724329,5.0370116,3.369287,1,0,1,0,1,0,0
90224333,5.0321774,3.3708985,1,0,1,0,1,0,0
90724329,5.0482907,3.369287,1,0,1,0,1,0,0
91224329,4.9097166,3.3708985,1,0,1,0,1,0,0
91724329,5.033789,3.3708985,1,0,1,0,1,0,0
92224330,5.0482907,3.3708985,1,0,1,0,1,0,0
92724329,4.92583,3.369287,1,0,1,0,1,0,0
93224338,4.9097166,3.3708985,1,0,1,0,1,0,0
93734342,5.0273438,3.3708985,1,0,1,0,1,0,0
94234342,5.057959,3.3708985,1,0,1,0,1,0,0
94734341,4.9773927,3.3708985,1,0,1,0,1,0,0
95234341,4.979004,3.3708985,1,0,1,0,1,0,0
95734351,4.930664,3.3708985,1,0,1,0,1,0,0
96234342,5.0466795,3.3708985,1,0,1,0,1,0,0
96734344,5.041846,3.369287,1,0,1,0,1,0,0
97234342,5.0515137,3.3708985,1,0,1,0,1,0,0
97734364,4.9193845,3.3676758,1,0,1,0,1,0,0
98234343,5.0450683,3.369287,1,0,1,0,1,0,0
98734343,4.914551,3.3708985,1,0,1,0,1,0,0
99234340,4.990283,3.3708985,1,0,1,0,1,0,0
99744329,5.0370116,3.3708985,1,0,1,0,1,0,0
100244329,5.017676,3.3708985,1,0,1,0,1,0,0
100744330,4.980615,3.3708985,1,0,1,0,1,0,0
101244329,5.053125,3.3725097,1,0,1,0,1,0,0
101744329,5.0660157,3.3708985,1,0,1,0,1,0,0
102244329,5.0273438,3.3708985,1,0,1,0,1,0,0
102744329,5.0499024,3.369287,1,0,1,0,1,0,0
103244329,4.891992,3.369287,1,0,1,0,1,0,0
103744329,5.028955,3.3708985,1,0,1,0,1,0,0
104244329,5.028955,3.369287,1,0,1,0,1,0,0
104744358,4.891992,3.369287,1,0,1,0,1,0,0
105244329,4.988672,3.369287,1,0,1,0,1,0,0
105744329,5.0515137,3.3708985,1,0,1,0,1,0,0
106254333,4.979004,3.3708985,1,0,1,0,1,0,0
106754362,4.8484864,3.369287,1,0,1,0,1,0,0
107254341,5.0450683,3.369287,1,0,1,0,1,0,0
107754343,4.9773927,3.369287,1,0,1,0,1,0,0
108254341,5.030566,3.369287,1,0,1,0,1,0,0
108754344,4.92583,3.3708985,1,0,1,0,1,0,0
109254342,5.053125,3.3708985,1,0,1,0,1,0,0
109754343,5.024121,3.3708985,1,0,1,0,1,0,0
110254343,5.040234,3.3708985,1,0,1,0,1,0,0
110764329,5.0273438,3.3708985,1,0,1,0,1,0,0
111264330,5.024121,3.3708985,1,0,1,0,1,0,0
111764329,4.8952146,3.3708985,1,0,1,0,1,0,0
112264329,4.990283,3.3708985,1,0,1,0,1,0,0
112774341,5.0321774,3.3708985,1,0,1,0,1,0,0
113274352,4.990283,3.3725097,1,0,1,0,1,0,0
113774342,4.9822264,3.369287,1,0,1,0,1,0,0
114274342,5.0482907,3.369287,1,0,1,0,1,0,0
114774343,4.9081054,3.3708985,1,0,1,0,1,0,0
115274342,5.0354004,3.369287,1,0,1,0,1,0,0
115774345,5.0499024,3.3708985,1,0,1,0,1,0,0
116274343,5.028955,3.3708985,1,0,1,0,1,0,0
116774341,5.0273438,3.369287,1,0,1,0,1,0,0
117274338,5.033789,3.3725097,1,0,1,0,1,0,0
117774345,4.980615,3.369287,1,0,1,0,1,0,0
118274342,4.9773927,3.3708985,1,0,1,0,1,0,0
118784344,4.904883,3.3708985,1,0,1,0,1,0,0
119284329,4.9918942,3.3708985,1,0,1,0,1,0,0
119784329,5.040234,3.3708985,1,0,1,0,1,0,0
