timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,thrust[0],thrust[1],thrust[2]
61083215,0.7840419,0.42046398,nan,-1.1184872,0.0,-0.0065734647,-0.064133,-0.40005052,0.0,0.0,0.0,0.0,0.0,0.0,0.0072147846,-0.00926484,-0.39603084
61183217,0.7833645,0.42043996,nan,-1.1184872,0.0,0.00239613,-0.06954664,-0.40005052,0.0,0.0,0.0,0.0,0.0,0.0,0.005360852,-0.011458576,-0.39952946
61283237,0.7826853,0.42041594,nan,-1.1184872,0.0,0.013009078,-0.07463596,-0.40005052,0.0,0.0,0.0,0.0,0.0,0.0,0.007416395,-0.0130696,-0.39755076
61383339,0.7820042,0.42039195,nan,-1.1184872,0.0,0.023384318,-0.07802836,-0.40005052,0.0,0.0,0.0,0.0,0.0,0.0,0.00833462,-0.011669721,-0.3988233
61483459,0.7813201,0.4203679,nan,-1.1184872,0.0,0.034872927,-0.08117897,-0.40005052,0.0,0.0,0.0,0.0,0.0,0.0,0.008623258,-0.011888981,-0.4009703
61583453,nan,nan,nan,-1.1184872,0.0,0.042560916,-0.054326974,-0.40005052,0.0,0.0,0.0,0.0,0.0,0.0,0.009521377,-0.009250985,-0.4037292
61683494,nan,nan,nan,-1.1184872,0.0,0.16264053,-0.1144114,-0.4320681,0.0,0.0,0.0,0.0,0.0,0.0,0.018140087,-0.018818704,-0.4066498
61803563,nan,nan,nan,-1.1184872,0.0,0.47099465,-0.4508115,-0.48013452,0.0,0.0,0.0,0.0,0.0,0.0,0.04404823,-0.049023304,-0.4067592
61903606,nan,nan,nan,-1.1156008,0.0,0.7913407,-0.9513217,-0.48810259,0.0,0.0,0.0,0.0,0.0,0.0,0.068891086,-0.09072717,-0.40289372
62003617,nan,nan,nan,-1.1156008,0.0,1.1395876,-1.6517318,-0.48810259,0.0,0.0,0.0,0.0,0.0,0.0,0.09228705,-0.14050889,-0.3966769
62103819,nan,nan,nan,-1.1156008,0.0,1.5000877,-2.5488794,-0.48810259,0.0,0.0,0.0,0.0,0.0,0.0,0.111566946,-0.19752215,-0.3963877
62203733,nan,nan,nan,-1.1156008,0.0,1.8601881,-3.5090775,-0.5880406,0.0,0.0,0.0,0.0,0.0,0.0,0.12182197,-0.25102854,-0.41056997
62303895,nan,nan,nan,-1.1156008,0.0,2.2206018,-4.4701114,-0.852139,0.0,0.0,0.0,0.0,0.0,0.0,0.13524896,-0.29360873,-0.45895514
62403827,nan,nan,nan,-1.1156008,0.0,2.5807853,-5.4305305,-1.1320605,0.0,0.0,0.0,0.0,0.0,0.0,0.14748594,-0.3381744,-0.50771576
62503847,nan,nan,nan,-1.1156008,0.0,2.941473,-6.3922944,-1.3962797,0.0,0.0,0.0,0.0,0.0,0.0,0.153588,-0.35978717,-0.53182536
62603827,nan,nan,nan,-1.1156008,0.0,3.301595,-7.2885966,-1.4960121,0.0,0.0,0.0,0.0,0.0,0.0,0.17159656,-0.39589217,-0.5275111
62703904,nan,nan,nan,-1.1156008,0.0,3.66194,-7.9893727,-1.4960121,0.0,0.0,0.0,0.0,0.0,0.0,0.17807594,-0.39840907,-0.50343895
62803940,nan,nan,nan,-1.1156008,-0.0,4.022199,-8.493906,-1.4960121,0.0,0.0,0.0,0.0,0.0,0.0,0.19560252,-0.40478104,-0.49650058
62903970,nan,nan,nan,-1.162501,1.0767293,4.346564,-8.870562,-1.4960121,0.0,0.0,0.0,0.0,0.0,0.0,0.19856293,-0.38630074,-0.5090982
63003986,nan,nan,nan,-1.1056507,1.4143898,4.4907055,-9.215199,-1.4960121,0.0,0.0,0.0,0.0,0.0,0.0,0.1899873,-0.38189775,-0.53019047
63124009,nan,nan,nan,-0.98385173,1.4523059,4.6227407,-9.407717,-1.4960121,0.0,0.0,0.0,0.0,0.0,0.0,0.16167268,-0.3661276,-0.566299
