timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail,health_flags,timeout_flags
57639248,0.8478929,-0.014804579,0.031052478,-0.5290504,0.029088765,0.01664064,0.007156409,0.71835333,0.36019903,-0.509276,3.3411765e-05,-0.00026459288,4.9577e-05,-0.000106737585,-0.00021085692,0.0020345966,0.24584682,0.04104128,0.36361235,0.0,0.0,0.0,0.0,0.0,4.3284385e-09,2.9605857e-05,0.0008963795,1.536964e-05,4.578184e-05,4.5626246e-05,4.009359e-05,0.013445733,0.013440413,0.010052549,0.06370365,0.06369909,0.055355858,1.0892503e-11,1.0946415e-11,3.5947564e-11,1.0322804e-06,1.0323068e-06,5.000007e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.3569352,0.23527826,0.02115197,0.036704317,0.009874422,0.009169651,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
57840048,0.8479799,-0.014785272,0.030831585,-0.5289244,0.03418065,0.014079498,0.008119664,0.7238878,0.36052138,-0.5053025,3.3426633e-05,-0.00026456531,4.956211e-05,-0.00010674443,-0.00021122857,0.0020331705,0.24584682,0.04104128,0.36361235,0.0,0.0,0.0,0.0,0.0,8.768529e-09,6.7490226e-05,0.0016761321,1.532854e-05,4.5780507e-05,4.5626253e-05,3.999791e-05,0.013445745,0.013440491,0.0100294,0.06370701,0.063702494,0.055142548,1.08830375e-11,1.0936335e-11,3.5631373e-11,1.0322578e-06,1.0322861e-06,5.000007e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.35694468,0.23482451,0.0412644,0.026913146,0.008050446,0.00850481,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
58048050,0.84768,-0.014755493,0.031005237,-0.5293955,0.035673793,0.019353041,0.0051404466,0.72781116,0.36978856,-0.5082874,3.341944e-05,-0.00026460644,4.9801118e-05,-0.000106958956,-0.00021088237,0.002033809,0.24584682,0.04104128,0.36361235,0.0,0.0,0.0,0.0,0.0,1.5723804e-08,0.00016055416,0.0030786349,1.5275466e-05,4.578747e-05,4.5632794e-05,3.981735e-05,0.013512279,0.01350703,0.009968515,0.064088136,0.06408358,0.054525193,1.0879546e-11,1.0932125e-11,3.5275467e-11,1.0322366e-06,1.0322663e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.35801077,0.2335063,0.063068755,0.016761448,0.008013897,0.007702809,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
58248848,0.84739274,-0.014986815,0.032176334,-0.52977896,0.040471148,0.020937158,0.01704969,0.7341605,0.37890756,-0.49239877,3.3408243e-05,-0.00026463973,5.00309e-05,-0.000106806074,-0.00021055943,0.002028185,0.24584682,0.04104128,0.36361235,0.0,0.0,0.0,0.0,0.0,1.8992003e-08,0.00018906582,0.0038730353,1.5209263e-05,4.5790963e-05,4.5630797e-05,3.9614068e-05,0.013506147,0.013500965,0.009955286,0.06408752,0.06408301,0.05437135,1.0870334e-11,1.0922211e-11,3.492142e-11,1.0322171e-06,1.0322481e-06,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.3580091,0.23317665,0.059519537,0.0184137,0.007980398,0.019709434,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
58448848,0.84717554,-0.014995308,0.032256167,-0.5301211,0.04320604,0.016085675,0.02684477,0.73800737,0.38017282,-0.46885923,3.343409e-05,-0.00026464157,5.0225768e-05,-0.000106863234,-0.00021070935,0.002020939,0.24584682,0.04104128,0.36361235,0.0,0.0,0.0,0.0,0.0,1.9643172e-08,0.00022273608,0.0048745214,1.5144007e-05,4.579175e-05,4.5631594e-05,3.9415892e-05,0.013509307,0.0135042025,0.009947742,0.06412127,0.064116806,0.054271903,1.0863161e-11,1.09143606e-11,3.4577306e-11,1.0321985e-06,1.0322307e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.35810345,0.23296331,0.005421427,0.021054309,0.0057341224,0.029830188,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
58657660,0.8470132,-0.015002448,0.032388106,-0.53037226,0.048533086,0.017213445,0.026147788,0.7439538,0.3867566,-0.44590878,3.344233e-05,-0.00026466555,5.0350867e-05,-0.00010684194,-0.00021051413,0.0020149425,0.24584682,0.04104128,0.36361235,0.0,0.0,0.0,0.0,0.0,2.3100041e-08,0.00024220832,0.0059229196,1.5090065e-05,4.579844e-05,4.563805e-05,3.9246042e-05,0.01357263,0.013567533,0.009973444,0.0644824,0.06447793,0.054430556,1.0858354e-11,1.0908892e-11,3.4243046e-11,1.0321803e-06,1.0322137e-06,5.0000015e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.35911047,0.23330358,0.026682148,0.011169357,0.0054531847,0.019559631,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
58857648,0.8469279,-0.015022253,0.032300677,-0.53051317,0.045567956,0.019671377,0.03187432,0.74637115,0.39189425,-0.44255194,3.347192e-05,-0.0002646849,5.0449104e-05,-0.00010727427,-0.00021051943,0.0020153509,0.24584682,0.04104128,0.36361235,0.0,0.0,0.0,0.0,0.0,3.0250078e-08,0.000283322,0.006924798,1.5057996e-05,4.5798504e-05,4.5639088e-05,3.9149763e-05,0.013574097,0.013569011,0.009965636,0.06452759,0.06452317,0.054337718,1.0851599e-11,1.0901608e-11,3.3960768e-11,1.0321629e-06,1.0321977e-06,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.35923636,0.23310453,0.004390942,0.023587348,0.006145219,0.0063146614,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
59058448,0.8467284,-0.015119017,0.032427516,-0.53082097,0.04889417,0.021564305,0.030158281,0.7490758,0.39480194,-0.44721162,3.3501263e-05,-0.00026469797,5.0635103e-05,-0.00010782058,-0.00021072166,0.0020191853,0.24584682,0.04104128,0.36361235,0.0,0.0,0.0,0.0,0.0,3.32202e-08,0.00030091061,0.0072766203,1.4993426e-05,4.5798766e-05,4.5639204e-05,3.89585e-05,0.013570473,0.013565396,0.009960219,0.064531855,0.06452749,0.054243173,1.0843021e-11,1.0892395e-11,3.363558e-11,1.0321464e-06,1.0321825e-06,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.3592483,0.23290163,0.042723585,0.021984195,0.004862831,0.018349545,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
59266448,0.84652025,-0.015186225,0.032539647,-0.5311442,0.049726844,0.020827107,0.030992953,0.75282305,0.3987185,-0.44436523,3.352425e-05,-0.00026472064,5.080041e-05,-0.000108206616,-0.00021072592,0.002020081,0.24584682,0.04104128,0.36361235,0.0,0.0,0.0,0.0,0.0,3.2619347e-08,0.0003041771,0.0074335607,1.4942622e-05,4.5806442e-05,4.564672e-05,3.87938e-05,0.013623587,0.013618536,0.009913838,0.06488134,0.064876944,0.053741924,1.0839697e-11,1.0888457e-11,3.332355e-11,1.0321306e-06,1.032168e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.36021978,0.23182304,0.022174148,0.019763554,0.004706245,0.014403824,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
59468049,0.846294,-0.014925546,0.03256686,-0.5315105,0.05241543,0.015574963,0.029912243,0.7621457,0.4043427,-0.44309092,3.3515083e-05,-0.00026474174,5.0988343e-05,-0.00010827947,-0.00021068242,0.002021371,0.24584682,0.04104128,0.36361235,0.0,0.0,0.0,0.0,0.0,3.453142e-08,0.00032554162,0.007986526,1.4917193e-05,4.580735e-05,4.5647674e-05,3.8694598e-05,0.013621447,0.013616488,0.009990715,0.06488261,0.06487827,0.054409496,1.08316975e-11,1.0879942e-11,3.3057217e-11,1.0321149e-06,1.0321537e-06,5.000007e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.36022338,0.23325843,0.06610228,0.010450363,0.0032931184,0.001975741,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
