,timestamp,time_utc_usec,lat,lon,alt,noise_per_ms,jamming_indicator,vel_m_s,satellites_used,heading,load,ram_usage,voltage_filtered_v,remaining,warning,discharged_mah,noise,remote_noise,txbuf,rssi,remote_rssi,rxerrors,fix,baro_temp_celcius,baro_pressure_pa,landed,ground_contact,time
19,1040082474.0,1551458515799821.0,360623227.0,142834610.0,46.38,86.0,2.0,17.833,15.0,0.0,0.562585,0.8965091999999999,15.785779000000002,1.0,0.0,129.6538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.79,101193.0,0.0,0.0,19
20,1041083402.0,1551458516799821.0,360624871.0,142834557.0,54.8,86.0,4.0,17.735,15.0,0.0,0.562719,0.8965091999999999,15.870717,1.0,0.0,136.12673999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.79,101057.0,0.0,0.0,20
21,1042087401.0,1551458517799821.0,360626390.0,142834641.0,64.24,87.0,3.0,16.589000000000002,15.0,0.0,0.566318,0.8965091999999999,16.053707,1.0,0.0,138.03445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.79,101026.99,0.0,0.0,21
22,1043084498.0,1551458518799820.0,360627865.0,142834760.0,68.03,92.0,2.0,16.475,15.0,0.0,0.566736,0.8965091999999999,16.158234,1.0,0.0,139.48915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.79,100971.0,0.0,0.0,22
23,1044081406.0,1551458519799820.0,360629307.0,142834904.0,66.03,92.0,3.0,17.116001,13.0,0.0,0.568868,0.8965091999999999,16.18761,1.0,0.0,141.24197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.82,100976.99,0.0,0.0,23
24,1045091202.0,1551458520799820.0,360630947.0,142834954.0,61.66,92.0,3.0,18.964000000000002,13.0,0.0,0.570116,0.8965091999999999,16.202257,1.0,0.0,143.25799999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.82,101029.0,0.0,0.0,24
25,1046087533.0,1551458521799820.0,360632743.0,142834936.0,59.07,92.0,2.0,20.818,14.0,0.0,0.567512,0.8965091999999999,16.205023,1.0,0.0,145.38068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.829997999999996,101066.0,0.0,0.0,25
26,1047084399.0,1551458522799819.0,360634648.0,142834966.0,57.06,92.0,3.0,21.676,14.0,0.0,0.563116,0.8965091999999999,16.225310999999998,1.0,0.0,147.52061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.84,101088.99,0.0,0.0,26
27,1049085429.0,1551458524799819.0,360638573.0,142835169.0,55.86,86.0,4.0,22.503,13.0,0.0,0.572624,0.8965091999999999,16.207165,1.0,0.0,152.18231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.85,101103.0,0.0,0.0,27
28,1050080482.0,1551458525799819.0,360640583.0,142835283.0,56.15,86.0,4.0,22.012001,12.0,0.0,0.571064,0.8965091999999999,16.201006,1.0,0.0,153.3901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.86,101121.0,0.0,0.0,28
