timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
58857648,17875248,32.387344299999995,-117.0765293,0.752308,0.39968145,-0.44340262,-0.00095559197,0.00016487676,0.0,0.05018943,0.018212654,0.037050437,0.065536395,-0.0082502235,-0.006005967,0.011175698,0.49652237,-1.3202063,1.2591875,-1.120397,15.565142,0.10085067,-0.037050437,0.35923636,0.23310453,0.16475166,0.099828035,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
58961648,17875248,32.387344299999995,-117.0765293,0.7548491,0.4019446,-0.43631324,-0.00095559197,0.00016487676,0.0,0.053195618,0.021366952,0.034702756,0.06317142,-0.0082502235,-0.006005967,0.011175698,0.64768577,0.124150924,-0.01833501,-1.1205572,15.565142,0.101703346,-0.034702756,0.3477796,0.23191158,0.16039762,0.0992597,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
59058448,17875248,32.387344299999995,-117.0765293,0.7568682,0.40355915,-0.43283975,-0.00095559197,0.00016487676,0.0,0.051525753,0.022512844,0.030564057,0.055835214,-0.0082502235,-0.006005967,0.011175698,-0.5053159,1.2142494,-1.4794888,-1.1207372,15.565142,0.1,-0.030564057,0.3592483,0.23290163,0.16472968,0.0998009,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
59162448,17875248,32.387344299999995,-117.0765293,0.7592954,0.4051693,-0.43155503,-0.00095559197,0.00016487676,0.0,0.05393818,0.015151779,0.03603589,0.055811144,-0.0082502235,-0.006005967,0.011175698,0.32268432,-0.2181688,0.12576078,-1.1212708,15.565142,0.1,-0.03603589,0.34768507,0.23172592,0.160292,0.09923426,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
59266448,17875248,32.387344299999995,-117.0765293,0.7613256,0.4065523,-0.43012714,-0.00095559197,0.00016487676,0.0,0.05524711,0.019613102,0.033674724,0.048708603,-0.0082502235,-0.006005967,0.011175698,0.45428523,1.3764954,-1.7460881,-1.1215171,15.565142,0.1,-0.033674724,0.36021978,0.23182304,0.16505188,0.099568255,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
59362449,17875248,32.387344299999995,-117.0765293,0.7640959,0.40816256,-0.4282823,-0.00095559197,0.00016487676,0.0,0.05416277,0.01979796,0.0353611,0.047198437,-0.0082502235,-0.006005967,0.011175698,0.2767744,1.586347,-0.39393777,-1.121798,15.565142,0.1,-0.0353611,0.34778666,0.23164077,0.1603213,0.09923175,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
59468049,17875248,32.387344299999995,-117.0765293,0.7677973,0.41036442,-0.42749095,-0.00095559197,0.00016487676,0.0,0.055675957,0.014754201,0.036904626,0.04479222,-0.0082502235,-0.006005967,0.011175698,0.16509564,0.29473484,0.36573812,-1.1221951,15.565142,0.1,-0.036904626,0.36022338,0.23325843,0.1650392,0.09995357,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
59564048,17875248,32.387344299999995,-117.0765293,0.77166915,0.41226757,-0.4279154,-0.00095559197,0.00016487676,0.0,0.056904912,0.0148243625,0.035444092,0.039035797,-0.0082502235,-0.006005967,0.011175698,-0.091607586,-0.37990382,1.255623,-1.1225742,15.565142,0.1,-0.035444092,0.34778723,0.23149945,0.16031292,0.09921865,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
59668049,17875248,32.387344299999995,-117.0765293,0.7761773,0.41438434,-0.42934272,-0.00095559197,0.00016487676,0.0,0.057484318,0.0177683,0.025207825,0.023885662,-0.0082502235,-0.006005967,0.011175698,0.0046069175,0.77950907,-0.9146907,-1.122737,15.565142,0.1,-0.025207825,0.36042243,0.23324704,0.16511902,0.099957906,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
59772048,17875248,32.387344299999995,-117.0765293,0.7813324,0.4167821,-0.43248418,-0.00095559197,0.00016487676,0.0,0.06085534,0.0135307135,0.02652295,0.019559251,-0.0082502235,-0.006005967,0.011175698,0.48115906,-1.1624688,0.35381123,-1.1230843,15.565142,0.1,-0.02652295,0.3488905,0.2336492,0.16072421,0.09978257,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
