timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
82452405,-0.0,-0.0,0.0,2.0,nan,nan,nan,530,1,1,1,1,0,0
82453377,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2003,1,1,1,1,0,0
105509054,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
111963929,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
151773246,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
183259945,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
191758140,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,1,1,0,0
255837742,0.0,0.0,0.0,2.0,50.0,nan,16.072954,0,1,1,1,1,0,0
