timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
57643519,0.40444785,-0.25777036,-0.0029797126,0.0,0.0,-0.0
57675552,0.40364367,-0.2564375,-0.0034651312,0.0,0.0,-0.0
57707526,0.4034227,-0.25653386,-0.002765775,0.0,0.0,-0.0
57740322,0.4024388,-0.25503546,-0.0032223065,0.0,0.0,-0.0
57772375,0.40365946,-0.2571918,-0.0032296071,0.0,0.0,-0.0
57800332,0.4039187,-0.2571431,-0.002446728,0.0,0.0,-0.0
57832317,0.40449664,-0.2564047,-0.0029421733,0.0,0.0,-0.0
57864320,0.40409234,-0.2563303,-0.0029604346,0.0,0.0,-0.0
57896317,0.4058468,-0.2571821,-0.002771939,0.0,0.0,-0.0
57928332,0.40699002,-0.25892413,-0.0031750537,0.0,0.0,-0.0
57960317,0.40906844,-0.26267567,-0.0032667147,0.0,0.0,-0.0
57992321,0.41114596,-0.2656429,-0.002957868,0.0,0.0,-0.0
58024398,0.41290712,-0.2664302,-0.0031438977,0.0,0.0,-0.0
58052323,0.41449058,-0.26830614,-0.0031843928,0.0,0.0,-0.0
58084431,0.41687876,-0.26989824,-0.0032152978,0.0,0.0,-0.0
58116323,0.41604182,-0.26942864,-0.0026941085,0.0,0.0,-0.0
58148319,0.41647378,-0.26881632,-0.0032449437,0.0,0.0,-0.0
58181149,0.41679272,-0.26950338,-0.003064034,0.0,0.0,-0.0
58213140,0.41619495,-0.27074787,-0.0029646768,0.0,0.0,-0.0
58245120,0.41655523,-0.26958168,-0.0032093597,0.0,0.0,-0.0
58273120,0.41701514,-0.2702714,-0.003278663,0.0,0.0,-0.0
58305124,0.4171255,-0.2701325,-0.003220128,0.0,0.0,-0.0
58337124,0.41758174,-0.27063486,-0.003173305,0.0,0.0,-0.0
58369126,0.41700774,-0.27209246,-0.0031243423,0.0,0.0,-0.0
58401174,0.41841197,-0.27136523,-0.002944745,0.0,0.0,-0.0
58433182,0.41776648,-0.27065223,-0.0031666958,0.0,0.0,-0.0
58465144,0.41849694,-0.27231556,-0.0032562204,0.0,0.0,-0.0
58493130,0.41827166,-0.27231857,-0.003069948,0.0,0.0,-0.0
58525187,0.41758567,-0.27036422,-0.003226715,0.0,0.0,-0.0
58557135,0.41698614,-0.27070263,-0.0031052078,0.0,0.0,-0.0
58589126,0.41978684,-0.27258065,-0.0031614695,0.0,0.0,-0.0
58621918,0.41774982,-0.27166486,-0.0030979333,0.0,0.0,-0.0
58653915,0.417257,-0.27032965,-0.00313756,0.0,0.0,-0.0
58685933,0.4188056,-0.27100945,-0.0032492075,0.0,0.0,-0.0
58713925,0.4188159,-0.27152604,-0.0032962305,0.0,0.0,-0.0
58745932,0.41894385,-0.2730787,-0.003218278,0.0,0.0,-0.0
58777912,0.4167154,-0.2709936,-0.0036826646,0.0,0.0,-0.0
58809927,0.41774723,-0.2695797,-0.002825563,0.0,0.0,-0.0
58841925,0.41846958,-0.2718896,-0.00236417,0.0,0.0,-0.0
58873953,0.4197619,-0.27350938,-0.0035360602,0.0,0.0,-0.0
58905914,0.41849288,-0.27085203,-0.00313439,0.0,0.0,-0.0
58937928,0.4195809,-0.27198172,-0.0030328413,0.0,0.0,-0.0
58969911,0.41985694,-0.27358615,-0.003399049,0.0,0.0,-0.0
59001916,0.41806558,-0.2722537,-0.0030654739,0.0,0.0,-0.0
59034734,0.42093283,-0.27204603,-0.0032485875,0.0,0.0,-0.0
59066720,0.41856977,-0.27297866,-0.0031718845,0.0,0.0,-0.0
59098745,0.4191872,-0.27240965,-0.0029682727,0.0,0.0,-0.0
59126734,0.42064267,-0.27307433,-0.003373968,0.0,0.0,-0.0
59158711,0.42021793,-0.27274513,-0.0032197179,0.0,0.0,-0.0
59190733,0.42121944,-0.27503508,-0.0032320723,0.0,0.0,-0.0
59222735,0.41981468,-0.27320808,-0.0032789719,0.0,0.0,-0.0
59254728,0.4201063,-0.2726822,-0.0030161284,0.0,0.0,-0.0
59286721,0.42005423,-0.27330056,-0.0033600053,0.0,0.0,-0.0
59318734,0.41916373,-0.27454975,-0.0031657643,0.0,0.0,-0.0
59350725,0.41996843,-0.2716988,-0.003380105,0.0,0.0,-0.0
59382715,0.41977182,-0.2728013,-0.0030194146,0.0,0.0,-0.0
59410713,0.41987234,-0.27320606,-0.0030695668,0.0,0.0,-0.0
59442711,0.42024276,-0.27390718,-0.0030795266,0.0,0.0,-0.0
59476334,0.4210183,-0.27431446,-0.0032248748,0.0,0.0,-0.0
59508316,0.42056185,-0.27416903,-0.0032262432,0.0,0.0,-0.0
59536327,0.4220973,-0.27534232,-0.0029489202,0.0,0.0,-0.0
59568322,0.41927922,-0.2737352,-0.003353504,0.0,0.0,-0.0
59600323,0.41969386,-0.2720121,-0.003186886,0.0,0.0,-0.0
59632319,0.42092165,-0.27338004,-0.0031796314,0.0,0.0,-0.0
59664325,0.41921118,-0.27470502,-0.0032912262,0.0,0.0,-0.0
59696324,0.41924956,-0.2721151,-0.0030040327,0.0,0.0,-0.0
59728357,0.42026535,-0.27262822,-0.0030334315,0.0,0.0,-0.0
59760327,0.41828373,-0.27390477,-0.0032403278,0.0,0.0,-0.0
59789125,0.37551606,-0.2701423,-0.0039402377,0.0,0.0,-0.50492316
59821128,0.36547935,-0.23046975,-0.003644035,0.0,0.0,-0.5031129
59853135,0.2627521,-0.2199567,-0.0022914966,0.0,0.0,-0.5042834
59885133,0.17112797,-0.2114135,-0.0022963856,0.0,0.0,-0.48639187
59917123,0.047305368,-0.22834527,0.0012103011,0.0,0.0,-0.4703047
59949163,-0.033278883,-0.26991823,-0.00022559831,0.0,0.0,-0.4498676
59981116,-0.05192338,-0.22186412,0.003445448,0.0,0.0,-0.4454185
60009147,-0.07340188,-0.24016641,-0.0008087009,0.0,0.0,-0.42688647
60041136,-0.07916746,-0.20031966,0.0016199152,0.0,0.0,-0.41956258
60073142,-0.06366582,-0.21716009,-0.0002833633,0.0,0.0,-0.41047972
60105131,-0.10848848,-0.23856531,-0.0025256597,0.0,0.0,-0.4067347
60137145,-0.035924155,-0.20746088,0.00070183416,0.0,0.0,-0.40713742
60169129,0.00012923987,-0.18210357,-0.0012579365,0.0,0.0,-0.41211984
60201134,0.026869329,-0.15462819,0.0010642416,0.0,0.0,-0.411509
60229912,0.060588323,-0.17881475,-0.001788204,0.0,0.0,-0.41272002
60261917,0.08187602,-0.20964961,0.000820036,0.0,0.0,-0.41297024
60293912,0.093242005,-0.15368363,-0.00020135386,0.0,0.0,-0.41917095
60325922,0.12541585,-0.1925355,-0.00223571,0.0,0.0,-0.42412436
60357915,0.11145621,-0.19117475,0.11636357,0.0,0.0,-0.42507946
60389927,0.091977656,-0.292265,0.11790013,0.0,0.0,-0.41638365
60421929,0.13061228,-0.1842154,0.11724128,0.0,0.0,-0.4173248
60453915,0.09390493,-0.22784498,0.11437515,0.0,0.0,-0.4108038
60485919,0.13565065,-0.104576245,0.11388652,0.0,0.0,-0.4087988
60517913,0.14876114,-0.10151771,0.11312359,0.0,0.0,-0.40618724
60549922,0.14355776,-0.10818789,0.11176598,0.0,0.0,-0.4039007
60581925,0.15299894,-0.09313283,0.11030343,0.0,0.0,-0.40429923
60613911,0.1470683,-0.11421984,0.10876832,0.0,0.0,-0.40161678
60642720,0.1502951,-0.14394215,0.10781053,0.0,0.0,-0.4041035
60674749,0.113891885,-0.14502034,0.10626195,0.0,0.0,-0.40228078
60706724,0.07251926,-0.1955096,0.10471843,0.0,0.0,-0.40155703
60738716,0.090087414,-0.19693433,0.10503048,0.0,0.0,-0.40010697
60770721,0.14255284,-0.19851834,0.10586492,0.0,0.0,-0.40157127
60802727,0.09900196,-0.21745624,0.10652868,0.0,0.0,-0.4001431
60834741,0.13677475,-0.2167413,0.1077422,0.0,0.0,-0.3996545
60862735,0.19637641,-0.20424834,0.10991177,0.0,0.0,-0.40028566
60894726,0.19511288,-0.20861606,0.11249877,0.0,0.0,-0.39885816
60926727,0.20118128,-0.14560655,0.11516245,0.0,0.0,-0.400099
60958722,0.23392034,-0.17561789,0.11796856,0.0,0.0,-0.39748955
60990710,0.17883492,-0.21179141,0.12031993,0.0,0.0,-0.39575103
61022765,0.21840616,-0.19806254,0.12342961,0.0,0.0,-0.39570245
61054731,0.15549728,-0.19096053,0.12429212,0.0,0.0,-0.39457136
