timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,thrust[0],thrust[1],thrust[2]
57641838,nan,nan,nan,nan,3.4840655,0.027190832,0.018107906,0.0040004,-0.40002,0.0,0.40002,-20.0,0.0,20.0,nan,nan,nan
57841915,nan,nan,nan,nan,3.482565,0.026696062,0.017973032,0.0040004,-0.40002,0.0,0.40002,-20.0,0.0,20.0,nan,nan,nan
58041954,nan,nan,nan,nan,3.4845707,0.034495316,0.021296969,0.0040028,-0.40014,0.0,0.40014,-20.0,0.0,20.0,nan,nan,nan
58242243,nan,nan,nan,nan,2.4462922,0.036331326,0.021026397,0.004100625,-0.405,0.0,0.405,-20.0,0.0,20.0,nan,nan,nan
58442041,nan,nan,nan,-1.1184872,-0.0,0.039912384,0.02090718,0.0040012,-0.40006,0.0,0.40006,-20.0,0.0,20.0,nan,nan,nan
58642228,nan,nan,nan,-1.1184872,0.0,0.044084553,0.021886965,0.0039988,-0.39994,0.0,0.39994,-20.0,0.0,20.0,nan,nan,nan
58842306,nan,nan,nan,-1.1184872,-0.0,0.044664674,0.02001272,0.003994802,-0.39974,0.0,0.39974,-20.0,0.0,20.0,nan,nan,nan
59062295,nan,nan,nan,-1.1184872,-0.0,0.048276104,0.020490235,0.0040016007,-0.40008003,0.0,0.40008003,-20.0,0.0,20.0,nan,nan,nan
59262404,nan,nan,nan,-1.1184872,0.0,0.0485432,0.0151651185,0.0039900057,-0.39949998,0.0,0.39949998,-20.0,0.0,20.0,nan,nan,nan
59462545,nan,nan,-0.42750862,-1.1184872,0.0,0.050044756,0.019077828,0.0,-0.40012,0.0,0.0,-20.0,0.0,0.0,nan,nan,nan
59662617,nan,nan,-0.42911246,-1.1184872,-0.0,0.052590027,0.012440911,0.0,-0.40015998,0.0,0.0,-20.0,0.0,0.0,nan,nan,nan
59862651,nan,nan,nan,-1.1184872,0.0,-0.006544504,-0.0042246687,-0.084026396,-0.00017998368,-0.40034,-1.20022,20.0,0.0,0.0,nan,nan,nan
60062740,0.7908506,0.4207089,nan,-1.1184872,-0.0,-0.0065805167,-0.00024007224,-0.3601821,-0.00017998368,-1.4878651e-08,-0.7989,0.0,0.0,0.0,nan,nan,nan
60282778,0.7893982,0.42065606,nan,-1.1184872,-0.0,-0.00662012,-0.00024007547,-0.38415387,-0.00017998368,-1.4878651e-08,-1.4901161e-08,0.0,0.0,0.0,nan,nan,nan
60482926,0.7880701,0.420608,nan,-1.1184872,0.0,-0.006656131,-0.0002400784,-0.39214608,-0.00017998368,-1.4878651e-08,-1.4479582e-08,0.0,0.0,0.0,nan,nan,nan
60683020,0.7867342,0.42056,nan,-1.1184872,0.0,-0.0066921553,-0.00024008134,-0.40005052,-0.00017998368,-1.4878651e-08,1.7503424e-08,0.0,0.0,0.0,nan,nan,nan
60883115,0.78539187,0.42051202,nan,-1.1184872,-0.0,-0.006728161,-0.00024008425,-0.40005052,-0.00017998368,-1.4878651e-08,1.7503424e-08,0.0,0.0,0.0,nan,nan,nan
61083184,0.7840419,0.42046398,nan,-1.1184872,0.0,-0.006764176,-0.00024008722,-0.40005052,-0.00017998368,-1.4878651e-08,1.7503424e-08,0.0,0.0,0.0,nan,nan,nan
61283203,0.7826853,0.42041594,nan,-1.1184872,0.0,-0.0068001794,-0.00024009016,-0.40005052,-0.00017998368,-1.4878651e-08,1.7503424e-08,0.0,0.0,0.0,nan,nan,nan
61483428,0.7813201,0.4203679,nan,-1.1184872,0.0,-0.006836216,-0.0002400931,-0.40005052,-0.00017998368,-1.4878651e-08,1.7503424e-08,0.0,0.0,0.0,nan,nan,nan
61683463,nan,nan,nan,-1.1184872,0.0,0.16264053,-0.1144114,-0.4320681,2.00062,-1.601,-0.80024,20.0,-20.0,0.0,nan,nan,nan
61903575,nan,nan,nan,-1.1156008,0.0,0.7913407,-0.9513217,-0.48810259,3.20202,-6.0033,2.2889566e-09,0.0,-20.0,0.0,nan,nan,nan
62103782,nan,nan,nan,-1.1156008,0.0,1.5000877,-2.5488794,-0.48810259,3.60212,-9.60496,2.2889566e-09,0.0,0.0,0.0,nan,nan,nan
62303822,nan,nan,nan,-1.1156008,0.0,2.2206018,-4.4701114,-0.852139,3.60212,-9.60496,-2.79944,0.0,0.0,0.0,nan,nan,nan
62503816,nan,nan,nan,-1.1156008,0.0,2.941473,-6.3922944,-1.3962797,3.60212,-9.60496,-1.99708,0.0,0.0,20.0,nan,nan,nan
62703833,nan,nan,nan,-1.1156008,0.0,3.66194,-7.9893727,-1.4960121,3.60212,-6.0048003,2.4027536e-09,0.0,20.0,0.0,nan,nan,nan
62903939,nan,nan,nan,nan,1.0767293,4.346564,-8.870562,-1.4960121,2.40118,-3.6043801,2.4027536e-09,-20.0,0.0,0.0,nan,nan,nan
63123978,nan,nan,nan,nan,1.4523059,4.6227407,-9.407717,-1.4960121,2.0002198,-0.40378028,2.4027536e-09,20.0,20.0,0.0,nan,nan,nan
63324004,nan,nan,nan,-0.7673294,-0.0,5.2949705,-9.088373,-1.4960121,4.40086,3.59678,2.4027536e-09,0.0,20.0,0.0,nan,nan,nan
63524170,nan,nan,nan,-0.7673294,-0.0,6.2194858,-7.9884415,-1.4960121,4.80074,6.39824,2.4027536e-09,0.0,-20.0,0.0,nan,nan,nan
63724224,nan,nan,nan,-0.7673294,0.0,7.164273,-6.9563723,-1.4960121,3.9999797,3.9960003,2.4027536e-09,0.0,-20.0,0.0,nan,nan,nan
63924251,nan,nan,nan,nan,0.80380845,7.612281,-6.481147,-1.4960121,0.7993398,0.39554036,2.4027536e-09,0.0,-20.0,0.0,nan,nan,nan
64124566,nan,nan,nan,nan,0.49754798,7.931715,-6.0177274,-1.4960121,2.3938599,3.5968401,2.4027536e-09,0.0,0.0,0.0,nan,nan,nan
64324542,nan,nan,nan,-0.55894786,-0.0,8.44291,-5.3578577,-1.4960121,2.3957398,2.3947403,2.4027536e-09,-20.0,0.0,0.0,nan,nan,nan
64524582,nan,nan,nan,-0.55894786,-0.0,8.557992,-5.1349807,-1.4960121,-0.40466025,-0.8072397,2.4027536e-09,0.0,-20.0,0.0,nan,nan,nan
64744739,nan,nan,nan,-0.55894786,-0.0,8.47072,-5.3126,-1.4960121,0.40675974,-0.0059397668,2.4027536e-09,0.0,0.0,0.0,nan,nan,nan
64945358,nan,nan,nan,-0.55894786,0.0,8.48405,-5.2975793,-1.4960121,0.006479755,-0.004859768,2.4027536e-09,0.0,0.0,0.0,nan,nan,nan
65145195,nan,nan,nan,-0.55894786,0.0,8.485343,-5.298549,-1.4999583,0.006479755,-0.004859768,-0.3973,0.0,0.0,-20.0,nan,nan,nan
65345370,nan,nan,nan,-0.55894786,-0.0,8.486642,-5.2995234,-1.5955393,0.006479755,-0.004859768,-0.39723998,0.0,0.0,20.0,nan,nan,nan
65545411,nan,nan,nan,-0.55894786,0.0,8.487939,-5.3004956,-1.6987869,0.006479755,-0.004859768,-0.39448,0.0,0.0,0.0,nan,nan,nan
65745124,nan,nan,nan,-0.55894786,-0.0,8.489234,-5.301467,-1.7027336,0.006479755,-0.004859768,-9.804637e-09,0.0,0.0,0.0,nan,nan,nan
65945170,nan,nan,nan,-0.55894786,-0.0,8.49053,-5.302439,-1.7027336,0.006479755,-0.004859768,-9.804637e-09,0.0,0.0,0.0,nan,nan,nan
