timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time
249189188,1532984873527343,-1532984624343256,-1532984624339956,10197
249285549,1532984873623491,-1532984624342127,-1532984624340074,8319
249387383,1532984873721655,-1532984624338593,-1532984624340022,8584
249553445,1532984873886418,-1532984624361738,-1532984624340022,57524
249599348,1532984873933222,-1532984624342217,-1532984624340022,16671
249694785,1532984874032108,-1532984624343165,-1532984624340022,11676
249788228,1532984874126280,-1532984624340394,-1532984624340055,4626
249899117,1532984874232669,-1532984624342998,-1532984624340055,18876
250002752,1532984874335997,-1532984624344230,-1532984624340055,21965
250100453,1532984874435764,-1532984624343664,-1532984624340055,16698
250187416,1532984874522814,-1532984624338914,-1532984624340017,6980
250300411,1532984874636421,-1532984624343624,-1532984624340017,15220
250390337,1532984874724749,-1532984624340438,-1532984624340017,12044
250489502,1532984874825461,-1532984624341739,-1532984624340017,11554
250598231,1532984874933264,-1532984624343908,-1532984624340017,17745
250809825,1532984875140501,-1532984624344553,-1532984624340017,26815
250881014,1532984875218166,-1532984624339315,-1532984624339997,4291
250998427,1532984875335968,-1532984624345683,-1532984624339997,16270
251091349,1532984875424238,-1532984624339105,-1532984624339997,12425
251191447,1532984875529187,-1532984624342376,-1532984624340123,9213
251295200,1532984875627526,-1532984624339882,-1532984624340123,14599
251390192,1532984875726195,-1532984624340925,-1532984624340178,9803
251495092,1532984875827190,-1532984624338318,-1532984624340178,12432
251593435,1532984875931056,-1532984624342113,-1532984624340289,8926
251695394,1532984876029460,-1532984624339401,-1532984624340289,10662
251800750,1532984876138477,-1532984624343438,-1532984624340289,11409
251995625,1532984876334068,-1532984624341738,-1532984624340381,6555
252097233,1532984876432581,-1532984624339964,-1532984624340388,8858
252197456,1532984876534411,-1532984624340956,-1532984624340440,7951
252300560,1532984876632958,-1532984624337711,-1532984624340440,10618
252403572,1532984876738436,-1532984624339516,-1532984624340422,9245
252497340,1532984876835236,-1532984624339692,-1532984624340412,3548
252597500,1532984876934752,-1532984624338954,-1532984624340366,3370
252697528,1532984877035224,-1532984624339166,-1532984624340329,2904
252808532,1532984877144186,-1532984624339667,-1532984624340315,7974
252907709,1532984877245247,-1532984624342091,-1532984624340414,9055
253006852,1532984877343759,-1532984624340646,-1532984624340444,7443
253250827,1532984877586791,-1532984624359269,-1532984624340444,46604
253352004,1532984877685993,-1532984624355746,-1532984624340444,43509
253452332,1532984877786618,-1532984624356030,-1532984624340444,43481
253548780,1532984877885333,-1532984624357042,-1532984624340444,40965
253654745,1532984877989758,-1532984624357561,-1532984624340444,44221
253754669,1532984878091445,-1532984624356818,-1532984624340444,40070
253854386,1532984878187652,-1532984624351248,-1532984624340444,35959
253953537,1532984878290469,-1532984624354997,-1532984624340444,36123
254049368,1532984878387246,-1532984624353163,-1532984624340444,30564
254150394,1532984878485930,-1532984624349424,-1532984624340444,27763
254251856,1532984878586686,-1532984624349587,-1532984624340444,28739
254351253,1532984878688786,-1532984624351650,-1532984624340444,28229
254454793,1532984878789657,-1532984624348521,-1532984624340444,27308
254552468,1532984878889291,-1532984624349602,-1532984624340444,25544
254651549,1532984878986843,-1532984624346844,-1532984624340444,23094
255154383,1532984879491121,-1532984624343855,-1532984624340444,14229
255253473,1532984879587885,-1532984624342342,-1532984624340444,15077
