timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
35898290,0.0,-0.0,3.071397,0.0,0.035090588,0.0,0.0,0.99938416,0.0,-1.0,1,0,0,0,0,0,0
36002582,0.0,-0.0,3.071439,0.0,0.035069622,0.0,0.0,0.9993849,0.0,-1.0,1,0,0,0,0,0,0
36103568,0.0,-0.0,3.071454,0.0,0.035062116,0.0,0.0,0.9993851,0.0,-1.0,1,0,0,0,0,0,0
36203083,0.0,-0.0,3.0714903,0.0,0.035044007,0.0,0.0,0.9993858,0.0,-1.0,1,0,0,0,0,0,0
36304370,0.0,-0.0,3.071547,0.0,0.03501565,0.0,0.0,0.9993868,0.0,-1.0,1,0,0,0,0,0,0
36408508,0.0,-0.0,3.071624,0.0,0.03497717,0.0,0.0,0.9993881,0.0,-1.0,1,0,0,0,0,0,0
36508833,0.0,-0.0,3.0716803,0.0,0.034949053,0.0,0.0,0.9993891,0.0,-1.0,1,0,0,0,0,0,0
36609579,0.0,-0.0,3.0717263,0.0,0.03492606,0.0,0.0,0.9993899,0.0,-1.0,1,0,0,0,0,0,0
36709517,0.0,-0.0,3.071757,0.0,0.034910694,0.0,0.0,0.9993904,0.0,-1.0,1,0,0,0,0,0,0
36813828,0.0,-0.0,3.0718136,0.0,0.034882456,0.0,0.0,0.99939144,0.0,-1.0,1,0,0,0,0,0,0
36914934,0.0,-0.0,3.0718937,0.0,0.034842428,0.0,0.0,0.9993928,0.0,-1.0,1,0,0,0,0,0,0
37014593,0.0,-0.0,3.071907,0.0,0.034835756,0.0,0.0,0.99939305,0.0,-1.0,1,0,0,0,0,0,0
37119403,0.0,-0.0,3.0720005,0.0,0.034789056,0.0,0.0,0.99939466,0.0,-1.0,1,0,0,0,0,0,0
37220324,0.0,-0.0,3.0720766,0.0,0.03475105,0.0,0.0,0.999396,0.0,-1.0,1,0,0,0,0,0,0
37319878,0.0,-0.0,3.072177,0.0,0.034700893,0.0,0.0,0.99939775,0.0,-1.0,1,0,0,0,0,0,0
37420811,0.0,-0.0,3.0722687,0.0,0.034655023,0.0,0.0,0.99939936,0.0,-1.0,1,0,0,0,0,0,0
37525231,0.0,-0.0,3.0723093,0.0,0.03463477,0.0,0.0,0.9994,0.0,-1.0,1,0,0,0,0,0,0
37625001,0.0,-0.0,3.0723758,0.0,0.034601532,0.0,0.0,0.9994012,0.0,-1.0,1,0,0,0,0,0,0
37726145,0.0,-0.0,3.0724604,0.0,0.03455924,0.0,0.0,0.99940264,0.0,-1.0,1,0,0,0,0,0,0
37825784,0.0,-0.0,3.0725565,0.0,0.034511223,0.0,0.0,0.9994043,0.0,-1.0,1,0,0,0,0,0,0
37930585,0.0,-0.0,3.07268,0.0,0.03444951,0.0,0.0,0.99940646,0.0,-1.0,1,0,0,0,0,0,0
38030922,0.0,-0.0,3.0727808,0.0,0.034399115,0.0,0.0,0.9994082,0.0,-1.0,1,0,0,0,0,0,0
38131211,0.0,-0.0,3.072935,0.0,0.03432203,0.0,0.0,0.9994108,0.0,-1.0,1,0,0,0,0,0,0
38235572,0.0,-0.0,3.0729487,0.0,0.034315243,0.0,0.0,0.99941105,0.0,-1.0,1,0,0,0,0,0,0
38336617,0.0,-0.0,3.0729022,0.0,0.034338474,0.0,0.0,0.9994103,0.0,-1.0,1,0,0,0,0,0,0
38436161,0.0,-0.0,3.0728548,0.0,0.034362182,0.0,0.0,0.99940944,0.0,-1.0,1,0,0,0,0,0,0
38537294,0.0,-0.0,3.0728707,0.0,0.0343542,0.0,0.0,0.99940974,0.0,-1.0,1,0,0,0,0,0,0
38641343,0.0,-0.0,3.0729399,0.0,0.03431965,0.0,0.0,0.9994109,0.0,-1.0,1,0,0,0,0,0,0
38741812,0.0,-0.0,3.0728917,0.0,0.034343716,0.0,0.0,0.9994101,0.0,-1.0,1,0,0,0,0,0,0
38842146,0.0,-0.0,3.072923,0.0,0.034328107,0.0,0.0,0.9994106,0.0,-1.0,1,0,0,0,0,0,0
38942299,0.0,-0.0,3.0729482,0.0,0.034315478,0.0,0.0,0.99941105,0.0,-1.0,1,0,0,0,0,0,0
39046560,0.0,-0.0,3.072968,0.0,0.03430559,0.0,0.0,0.9994114,0.0,-1.0,1,0,0,0,0,0,0
39147679,0.0,-0.0,3.073053,0.0,0.03426318,0.0,0.0,0.99941283,0.0,-1.0,1,0,0,0,0,0,0
39247587,0.0,-0.0,3.073114,0.0,0.03423268,0.0,0.0,0.9994139,0.0,-1.0,1,0,0,0,0,0,0
39352209,0.0,-0.0,3.073146,0.0,0.034216594,0.0,0.0,0.99941444,0.0,-1.0,1,0,0,0,0,0,0
39453356,0.0,-0.0,3.0731514,0.0,0.03421397,0.0,0.0,0.9994145,0.0,-1.0,1,0,0,0,0,0,0
39553006,0.0,-0.0,3.0731292,0.0,0.034225054,0.0,0.0,0.99941415,0.0,-1.0,1,0,0,0,0,0,0
39653297,0.0,-0.0,3.0731754,0.0,0.03420194,0.0,0.0,0.9994149,0.0,-1.0,1,0,0,0,0,0,0
39758147,0.0,-0.0,3.0733213,0.0,0.034129027,0.0,0.0,0.9994174,0.0,-1.0,1,0,0,0,0,0,0
39857567,0.0,-0.0,3.073365,0.0,0.034107223,0.0,0.0,0.9994182,0.0,-1.0,1,0,0,0,0,0,0
39958777,0.0,-0.0,3.0734243,0.0,0.03407756,0.0,0.0,0.9994192,0.0,-1.0,1,0,0,0,0,0,0
40062981,0.0,-0.0,3.0735035,0.0,0.034038004,0.0,0.0,0.9994205,0.0,-1.0,1,0,0,0,0,0,0
40163403,0.0,-0.0,3.0735915,0.0,0.03399404,0.0,0.0,0.999422,0.0,-1.0,1,0,0,0,0,0,0
40263396,0.0,-0.0,3.0736709,0.0,0.033954367,0.0,0.0,0.9994234,0.0,-1.0,1,0,0,0,0,0,0
40363942,0.0,-0.0,3.073693,0.0,0.033943288,0.0,0.0,0.99942374,0.0,-1.0,1,0,0,0,0,0,0
40468285,0.0,-0.0,3.0737307,0.0,0.033924464,0.0,0.0,0.9994244,0.0,-1.0,1,0,0,0,0,0,0
40569332,0.0,-0.0,3.0738297,0.0,0.03387502,0.0,0.0,0.99942607,0.0,-1.0,1,0,0,0,0,0,0
40668999,0.0,-0.0,3.0739748,0.0,0.03380246,0.0,0.0,0.9994285,0.0,-1.0,1,0,0,0,0,0,0
40769974,0.0,-0.0,3.0740836,0.0,0.033748135,0.0,0.0,0.99943036,0.0,-1.0,1,0,0,0,0,0,0
40874197,0.0,-0.0,3.0740848,0.0,0.03374754,0.0,0.0,0.9994304,0.0,-1.0,1,0,0,0,0,0,0
40974301,0.0,-0.0,3.074173,0.0,0.033703458,0.0,0.0,0.99943185,0.0,-1.0,1,0,0,0,0,0,0
41074873,0.0,-0.0,3.0741308,0.0,0.033724543,0.0,0.0,0.9994312,0.0,-1.0,1,0,0,0,0,0,0
41175390,0.0,-0.0,3.0741692,0.0,0.03370536,0.0,0.0,0.9994318,0.0,-1.0,1,0,0,0,0,0,0
41279083,0.0,-0.0,3.0741107,0.0,0.033734553,0.0,0.0,0.99943084,0.0,-1.0,1,0,0,0,0,0,0
41380311,0.0,-0.0,3.0741806,0.0,0.033699643,0.0,0.0,0.999432,0.0,-1.0,1,0,0,0,0,0,0
41480232,0.0,-0.0,3.0742197,0.0,0.033680104,0.0,0.0,0.9994327,0.0,-1.0,1,0,0,0,0,0,0
41585004,0.0,-0.0,3.074191,0.0,0.0336944,0.0,0.0,0.9994322,0.0,-1.0,1,0,0,0,0,0,0
41685389,0.0,-0.0,3.0742748,0.0,0.03365258,0.0,0.0,0.9994336,0.0,-1.0,1,0,0,0,0,0,0
41785532,0.0,-0.0,3.07435,0.0,0.033614933,0.0,0.0,0.9994348,0.0,-1.0,1,0,0,0,0,0,0
41886106,0.0,-0.0,3.074344,0.0,0.033618033,0.0,0.0,0.99943477,0.0,-1.0,1,0,0,0,0,0,0
41990573,0.0,-0.0,3.0744088,0.0,0.033585623,0.0,0.0,0.99943584,0.0,-1.0,1,0,0,0,0,0,0
42090294,0.0,-0.0,3.0743272,0.0,0.03362637,0.0,0.0,0.9994345,0.0,-1.0,1,0,0,0,0,0,0
42191397,0.0,-0.0,3.0744078,0.0,0.0335861,0.0,0.0,0.99943584,0.0,-1.0,1,0,0,0,0,0,0
42295716,0.0,-0.0,3.0744553,0.0,0.033562392,0.0,0.0,0.9994366,0.0,-1.0,1,0,0,0,0,0,0
42396330,0.0,-0.0,3.0744753,0.0,0.033552386,0.0,0.0,0.999437,0.0,-1.0,1,0,0,0,0,0,0
42496994,0.0,-0.0,3.0745356,0.0,0.03352224,0.0,0.0,0.999438,0.0,-1.0,1,0,0,0,0,0,0
42596671,0.0,-0.0,3.074615,0.0,0.033482566,0.0,0.0,0.9994393,0.0,-1.0,1,0,0,0,0,0,0
42700768,0.0,-0.0,3.0746331,0.0,0.03347351,0.0,0.0,0.9994396,0.0,-1.0,1,0,0,0,0,0,0
42802341,0.0,-0.0,3.0746865,0.0,0.033446822,0.0,0.0,0.9994405,0.0,-1.0,1,0,0,0,0,0,0
42901761,0.0,-0.0,3.0748048,0.0,0.033387728,0.0,0.0,0.99944246,0.0,-1.0,1,0,0,0,0,0,0
43002578,0.0,-0.0,3.0747883,0.0,0.03339595,0.0,0.0,0.9994422,0.0,-1.0,1,0,0,0,0,0,0
43106922,0.0,-0.0,3.0748522,0.0,0.03336402,0.0,0.0,0.9994433,0.0,-1.0,1,0,0,0,0,0,0
43207104,0.0,-0.0,3.0748227,0.0,0.033378795,0.0,0.0,0.99944276,0.0,-1.0,1,0,0,0,0,0,0
43308214,0.0,-0.0,3.0748465,0.0,0.033366878,0.0,0.0,0.9994432,0.0,-1.0,1,0,0,0,0,0,0
43412170,0.0,-0.0,3.0748634,0.0,0.03335842,0.0,0.0,0.9994435,0.0,-1.0,1,0,0,0,0,0,0
43511954,0.0,-0.0,3.0748525,0.0,0.0333639,0.0,0.0,0.9994433,0.0,-1.0,1,0,0,0,0,0,0
43612988,0.0,-0.0,3.0748417,0.0,0.03336926,0.0,0.0,0.9994431,0.0,-1.0,1,0,0,0,0,0,0
43712716,0.0,-0.0,3.0748522,0.0,0.03336402,0.0,0.0,0.9994433,0.0,-1.0,1,0,0,0,0,0,0
43817639,0.0,-0.0,3.0748873,0.0,0.033346504,0.0,0.0,0.9994438,0.0,-1.0,1,0,0,0,0,0,0
43918290,0.0,-0.0,3.0748713,0.0,0.033354487,0.0,0.0,0.9994436,0.0,-1.0,1,0,0,0,0,0,0
44018561,0.0,-0.0,3.074928,0.0,0.033326134,0.0,0.0,0.99944454,0.0,-1.0,1,0,0,0,0,0,0
44122580,0.0,-0.0,3.0749323,0.0,0.03332399,0.0,0.0,0.9994446,0.0,-1.0,1,0,0,0,0,0,0
44223714,0.0,-0.0,3.0749304,0.0,0.033324942,0.0,0.0,0.99944454,0.0,-1.0,1,0,0,0,0,0,0
44323417,0.0,-0.0,3.0749018,0.0,0.03333924,0.0,0.0,0.99944407,0.0,-1.0,1,0,0,0,0,0,0
44424202,0.0,-0.0,3.0749,0.0,0.03334019,0.0,0.0,0.99944407,0.0,-1.0,1,0,0,0,0,0,0
44528564,0.0,-0.0,3.0749183,0.0,0.033331018,0.0,0.0,0.99944437,0.0,-1.0,1,0,0,0,0,0,0
44628672,0.0,-0.0,3.0749705,0.0,0.033304926,0.0,0.0,0.99944526,0.0,-1.0,1,0,0,0,0,0,0
44729333,0.0,-0.0,3.0751112,0.0,0.03323463,0.0,0.0,0.9994476,0.0,-1.0,1,0,0,0,0,0,0
44829841,0.0,-0.0,3.0751722,0.0,0.03320413,0.0,0.0,0.9994486,0.0,-1.0,1,0,0,0,0,0,0
44933800,0.0,-0.0,3.0751739,0.0,0.033203296,0.0,0.0,0.9994486,0.0,-1.0,1,0,0,0,0,0,0
45034947,0.0,-0.0,3.0752044,0.0,0.033188045,0.0,0.0,0.99944913,0.0,-1.0,1,0,0,0,0,0,0
45134590,0.0,-0.0,3.075237,0.0,0.03317172,0.0,0.0,0.9994497,0.0,-1.0,1,0,0,0,0,0,0
45235606,0.0,-0.0,3.0749018,0.0,0.03333924,0.0,0.0,0.99944407,0.0,-1.0,1,0,0,0,0,0,0
45351178,0.0,-0.0,3.0734293,0.0,0.034075055,0.0,0.0,0.9994193,0.0,-1.0,1,0,0,0,0,0,0
45452509,0.0,-0.0,3.0715349,0.0,0.035021726,0.0,0.0,0.99938655,0.0,-1.0,1,0,0,0,0,0,0
45551883,0.0,-0.0,3.0691295,0.0,0.03622367,0.0,0.0,0.9993437,0.0,-1.0,1,0,0,0,0,0,0
45652967,0.0,-0.0,3.0664759,0.0,0.037549563,0.0,0.0,0.99929476,0.0,-1.0,1,0,0,0,0,0,0
45756987,0.0,-0.0,3.0636616,0.0,0.03895568,0.0,0.0,0.99924093,0.0,-1.0,1,0,0,0,0,0,0
45857851,0.0,-0.0,3.061028,0.0,0.04027143,0.0,0.0,0.9991888,0.0,-1.0,1,0,0,0,0,0,0
45958195,0.0,-0.0,3.0584166,0.0,0.041576035,0.0,0.0,0.9991353,0.0,-1.0,1,0,0,0,0,0,0
46058554,0.0,-0.0,3.0559003,0.0,0.042833053,0.0,0.0,0.99908227,0.0,-1.0,1,0,0,0,0,0,0
46162688,0.0,-0.0,3.0534067,0.0,0.04407868,0.0,0.0,0.9990281,0.0,-1.0,1,0,0,0,0,0,0
46263606,0.0,-0.0,3.0509975,0.0,0.04528209,0.0,0.0,0.99897426,0.0,-1.0,1,0,0,0,0,0,0
46363459,0.0,-0.0,3.048705,0.0,0.046427082,0.0,0.0,0.9989217,0.0,-1.0,1,0,0,0,0,0,0
46464636,0.0,-0.0,3.046352,0.0,0.047602374,0.0,0.0,0.9988664,0.0,-1.0,1,0,0,0,0,0,0
46568700,0.0,-0.0,3.0440276,0.0,0.048763197,0.0,0.0,0.99881035,0.0,-1.0,1,0,0,0,0,0,0
46669146,0.0,-0.0,3.0417137,0.0,0.049918715,0.0,0.0,0.9987533,0.0,-1.0,1,0,0,0,0,0,0
46769994,0.0,-0.0,3.0395112,0.0,0.051018566,0.0,0.0,0.9986977,0.0,-1.0,1,0,0,0,0,0,0
46869635,0.0,-0.0,3.0372865,0.0,0.05212943,0.0,0.0,0.99864036,0.0,-1.0,1,0,0,0,0,0,0
46973974,0.0,-0.0,3.034933,0.0,0.053304505,0.0,0.0,0.9985783,0.0,-1.0,1,0,0,0,0,0,0
47075138,0.0,-0.0,3.0327663,0.0,0.05438631,0.0,0.0,0.99851996,0.0,-1.0,1,0,0,0,0,0,0
47174391,0.0,-0.0,3.030593,0.0,0.05547138,0.0,0.0,0.9984603,0.0,-1.0,1,0,0,0,0,0,0
47279184,0.0,-0.0,3.028569,0.0,0.056481756,0.0,0.0,0.99840367,0.1,-1.0,1,0,0,0,0,0,0
