timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,thrust[0],thrust[1],thrust[2]
47808853,-0.18651456,0.57755893,-1.345511,3.0174592,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
47813749,-0.1863237,0.57952595,-1.345385,3.0173805,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
47913731,-0.18979809,0.6029381,-1.3491827,3.015311,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
48018031,-0.19313261,0.62789404,-1.3536,3.013175,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
48119406,-0.1963956,0.65221906,-1.3578194,3.0111208,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
48218554,-0.1987717,0.67538106,-1.3605922,3.0091088,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
48319693,-0.19990087,0.69915134,-1.3628092,3.0071402,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
48423558,-0.19924238,0.72387516,-1.3660266,3.0050921,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
48524455,-0.19841795,0.74616176,-1.3707912,3.0031788,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
48624416,-0.19631161,0.7707157,-1.3753753,3.0012748,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
48725280,-0.19575003,0.793279,-1.37975,2.9993143,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
48829280,-0.19342186,0.8187089,-1.3855269,2.9973035,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
48930345,-0.19192322,0.841618,-1.389768,2.9954028,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
49030030,-0.1895423,0.8637352,-1.3964392,2.9934483,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
49134441,-0.18801238,0.88454735,-1.4042991,2.9914103,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
49234853,-0.18391003,0.90654415,-1.412545,2.9894865,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
49335663,-0.18226886,0.9254666,-1.4197581,2.987721,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
49436276,-0.17773853,0.94700694,-1.42362,2.9858954,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
49540279,-0.17537752,0.96655446,-1.4295071,2.9840307,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
49640032,-0.17163299,0.98803854,-1.4351907,2.982256,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
49741113,-0.16900684,1.0079993,-1.4420023,2.9805613,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
49845149,-0.16574031,1.0297053,-1.4510745,2.9787376,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
49945230,-0.16518897,1.0476254,-1.4584666,2.9769986,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
50045998,-0.16119955,1.0688852,-1.4653275,2.9752908,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
50150092,-0.15969375,1.088066,-1.4712108,2.9734337,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
50250936,-0.15962148,1.1100419,-1.4780651,2.9718058,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
50350796,-0.16149963,1.1301914,-1.4852692,2.9701426,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
50451229,-0.16020261,1.1488824,-1.4925568,2.9684548,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
50555516,-0.16121602,1.1655988,-1.499271,2.9667208,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
50656561,-0.15718016,1.1840367,-1.5057329,2.9649985,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
50756451,-0.15688168,1.1995301,-1.5131893,2.9633262,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
50857477,-0.15183704,1.2169455,-1.5194895,2.96169,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
50962016,-0.15053958,1.2325386,-1.5234516,2.9599123,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
51061644,-0.14506586,1.2498212,-1.5273466,2.958284,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
51161929,-0.14254767,1.2652272,-1.5335526,2.9567757,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
51262852,-0.13744184,1.282752,-1.5397462,2.9552276,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
51366864,-0.13550651,1.298882,-1.5475795,2.9535584,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
51467975,-0.13383606,1.3157892,-1.5535648,2.9519768,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
