timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
183099124,183099124,7,255,4,0,0,1500,1496,1904,1523,1099,1901,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,12
183122785,183122785,7,255,4,0,0,1500,1495,1904,1523,1099,1901,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,12
183319249,183319249,7,255,4,0,0,1500,1495,1904,1523,1099,1901,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,12
183516265,183516265,7,255,4,0,0,1500,1496,1904,1523,1099,1901,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,12
183714623,183714623,7,255,4,0,0,1500,1495,1904,1523,1099,1901,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,12
183912257,183912257,7,255,4,0,0,1500,1495,1904,1523,1099,1901,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,12
184111662,184111662,7,255,4,0,0,1500,1495,1904,1523,1099,1901,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,12
184309331,184309331,7,255,4,0,0,1500,1496,1904,1523,1099,1901,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,12
184529585,184529585,7,255,4,0,0,1500,1495,1904,1523,1099,1901,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,12
184726257,184726257,7,255,4,0,0,1500,1496,1904,1523,1099,1901,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,12
184924262,184924262,7,255,4,0,0,1500,1496,1904,1523,1099,1901,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,12
185123536,185123536,7,255,4,0,0,1500,1496,1904,1523,1099,1901,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,12
185322298,185322298,7,255,4,0,0,1500,1495,1904,1523,1099,1901,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,12
185540504,185540504,7,255,4,0,0,1500,1496,1904,1523,1099,1901,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,12
185738261,185738261,7,255,4,0,0,1500,1495,1904,1523,1099,1901,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,12
185937388,185937388,7,255,4,0,0,1500,1495,1904,1523,1099,1901,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,12
186136250,186136250,7,255,4,0,0,1500,1496,1904,1523,1099,1901,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,12
186333177,186333177,7,255,4,0,0,1500,1495,1904,1523,1099,1901,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,12
186552331,186552331,7,255,4,0,0,1500,1496,1904,1523,1099,1901,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,12
