timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
30383737,-0.20909332,0.041413832,0.49368122
30407607,-0.21207125,0.041413832,0.49368122
30428327,-0.20909332,0.041413832,0.49069324
30451559,-0.20611541,0.03836248,0.49368122
30564755,-0.20909332,0.041413832,0.49069324
30609411,-0.20611541,0.03836248,0.48770532
30633253,-0.20909332,0.041413832,0.49368122
30654660,-0.20909332,0.041413832,0.49368122
30677144,-0.20909332,0.03836248,0.49069324
30700729,-0.20909332,0.041413832,0.49069324
30722753,-0.20909332,0.03836248,0.49368122
30746087,-0.20909332,0.041413832,0.49069324
30769882,-0.20909332,0.03836248,0.49069324
30792259,-0.20909332,0.03836248,0.48770532
30815245,-0.20909332,0.041413832,0.49069324
30838786,-0.20909332,0.041413832,0.49368122
30861601,-0.20909332,0.041413832,0.49666914
30883184,-0.20909332,0.041413832,0.49069324
30907023,-0.20909332,0.041413832,0.49368122
30929261,-0.20909332,0.041413832,0.49069324
30950767,-0.20909332,0.041413832,0.49666914
30974351,-0.20909332,0.041413832,0.49069324
30997257,-0.20909332,0.041413832,0.49069324
31020143,-0.20611541,0.041413832,0.49368122
31043708,-0.20909332,0.03836248,0.49368122
31066672,-0.20611541,0.041413832,0.49666914
31088272,-0.20909332,0.041413832,0.49069324
31112265,-0.20909332,0.041413832,0.49666914
31136410,-0.20909332,0.041413832,0.49368122
31159626,-0.20909332,0.03836248,0.49368122
31182258,-0.20909332,0.041413832,0.49069324
31204597,-0.20909332,0.041413832,0.49368122
31227909,-0.21207125,0.041413832,0.49069324
31250270,-0.21207125,0.041413832,0.49368122
31273256,-0.20909332,0.041413832,0.48172945
31296272,-0.20909332,0.041413832,0.49069324
31320398,-0.20909332,0.03836248,0.49069324
31343652,-0.20909332,0.03836248,0.48770532
32351555,-0.20909332,0.03836248,0.49069324
32375658,-0.20909332,0.041413832,0.48770532
32396485,-0.20909332,0.041413832,0.49069324
32419661,-0.20611541,0.041413832,0.49069324
32442256,-0.20909332,0.041413832,0.49069324
32465777,-0.20909332,0.041413832,0.49069324
32489084,-0.20909332,0.03836248,0.48770532
32511319,-0.20909332,0.041413832,0.49069324
32535253,-0.20909332,0.044465188,0.49069324
32559317,-0.20909332,0.041413832,0.49368122
32585557,-0.20909332,0.03836248,0.49069324
32607317,-0.20909332,0.041413832,0.48770532
32631306,-0.20909332,0.03836248,0.49069324
32655319,-0.20909332,0.03836248,0.49069324
32679352,-0.20909332,0.041413832,0.49368122
32701843,-0.20909332,0.041413832,0.49069324
32723193,-0.20909332,0.03836248,0.49666914
32745962,-0.20909332,0.041413832,0.49368122
32766798,-0.20909332,0.03836248,0.48770532
32789594,-0.21207125,0.041413832,0.49069324
32814446,-0.20909332,0.03836248,0.49368122
32838383,-0.20909332,0.041413832,0.49368122
32861929,-0.21207125,0.041413832,0.48770532
32886881,-0.20909332,0.041413832,0.49069324
32910884,-0.20909332,0.03836248,0.49368122
32934361,-0.20909332,0.041413832,0.49069324
32955397,-0.20909332,0.041413832,0.49069324
32979771,-0.20909332,0.041413832,0.49069324
33002731,-0.20909332,0.03836248,0.49069324
33023255,-0.20909332,0.041413832,0.4847174
33046758,-0.20909332,0.041413832,0.49069324
33068806,-0.20611541,0.03836248,0.49069324
33092270,-0.20909332,0.03836248,0.48770532
33116695,-0.20909332,0.041413832,0.49666914
33140252,-0.20909332,0.041413832,0.49666914
33163839,-0.21207125,0.041413832,0.49069324
33186285,-0.20909332,0.03836248,0.48770532
33207627,-0.20909332,0.041413832,0.49069324
33230271,-0.20909332,0.041413832,0.49069324
33252255,-0.20909332,0.03836248,0.49069324
33276298,-0.20909332,0.041413832,0.49368122
33299160,-0.20611541,0.041413832,0.49069324
33323564,-0.20611541,0.041413832,0.49666914
33344566,-0.20909332,0.041413832,0.49368122
33391559,-0.20611541,0.041413832,0.49069324
33413046,-0.20909332,0.041413832,0.49666914
33435596,-0.20909332,0.03836248,0.49368122
33458267,-0.20611541,0.041413832,0.48770532
33480574,-0.20909332,0.03836248,0.49069324
33505087,-0.20909332,0.041413832,0.49069324
33527256,-0.20909332,0.03836248,0.49368122
33549858,-0.20909332,0.041413832,0.48770532
33571703,-0.21207125,0.041413832,0.49069324
33597020,-0.20909332,0.03836248,0.49069324
33617980,-0.20909332,0.03836248,0.49368122
33641584,-0.20909332,0.041413832,0.49368122
33664763,-0.20909332,0.03836248,0.49069324
33688262,-0.20909332,0.03836248,0.49069324
33711371,-0.20909332,0.041413832,0.48770532
33734905,-0.20909332,0.041413832,0.49368122
33757894,-0.20909332,0.03836248,0.48770532
33780238,-0.20909332,0.03836248,0.48770532
33804261,-0.20909332,0.041413832,0.49069324
33828260,-0.20909332,0.041413832,0.49069324
33851342,-0.20909332,0.041413832,0.49069324
33874271,-0.20909332,0.041413832,0.49069324
33896254,-0.20909332,0.03836248,0.49069324
33919841,-0.20909332,0.041413832,0.49069324
33943373,-0.20909332,0.041413832,0.49368122
33966943,-0.20611541,0.03836248,0.49368122
33990993,-0.20909332,0.03836248,0.49069324
34013271,-0.20909332,0.03836248,0.48770532
34036166,-0.20611541,0.044465188,0.49069324
34059105,-0.20909332,0.03836248,0.49069324
34082436,-0.20909332,0.041413832,0.49069324
34105318,-0.20909332,0.041413832,0.49069324
34128701,-0.20909332,0.041413832,0.49666914
34151826,-0.20909332,0.03836248,0.4847174
34173729,-0.20909332,0.03836248,0.49069324
34198259,-0.20909332,0.041413832,0.49069324
34222306,-0.20909332,0.041413832,0.49069324
34244272,-0.20611541,0.03836248,0.49069324
34268356,-0.20909332,0.041413832,0.49069324
34292402,-0.20909332,0.041413832,0.49069324
34315671,-0.20611541,0.041413832,0.49069324
34338257,-0.20611541,0.041413832,0.49069324
34360814,-0.20909332,0.044465188,0.49368122
34407785,-0.20909332,0.03836248,0.49368122
34428473,-0.20909332,0.041413832,0.49368122
34451656,-0.20909332,0.041413832,0.49069324
34473252,-0.20909332,0.03836248,0.49069324
34495320,-0.20909332,0.041413832,0.49368122
34518261,-0.20909332,0.041413832,0.49666914
34541741,-0.20909332,0.041413832,0.48770532
34564750,-0.20909332,0.041413832,0.49069324
34589132,-0.20909332,0.041413832,0.49368122
34609849,-0.20909332,0.03836248,0.48770532
34633040,-0.20909332,0.041413832,0.49368122
34655312,-0.20909332,0.041413832,0.49069324
34679253,-0.20909332,0.041413832,0.49069324
34700253,-0.21207125,0.041413832,0.48770532
34723087,-0.20909332,0.041413832,0.48770532
34745870,-0.20909332,0.041413832,0.4847174
34766356,-0.20909332,0.041413832,0.49666914
34789903,-0.20909332,0.041413832,0.49069324
34811189,-0.20611541,0.041413832,0.49069324
34834652,-0.20909332,0.041413832,0.49069324
34859082,-0.20611541,0.03836248,0.49069324
34881161,-0.20909332,0.041413832,0.48770532
34903248,-0.20909332,0.041413832,0.48770532
34927358,-0.20909332,0.03836248,0.49069324
34951618,-0.20909332,0.041413832,0.49069324
34974695,-0.20909332,0.041413832,0.49069324
35018973,-0.20909332,0.041413832,0.49069324
35040279,-0.20909332,0.041413832,0.49069324
35064250,-0.20611541,0.03836248,0.49069324
35087174,-0.20909332,0.041413832,0.49069324
35109204,-0.20909332,0.03836248,0.49069324
35132267,-0.20909332,0.03836248,0.49069324
35155848,-0.20909332,0.03836248,0.49069324
35178271,-0.20909332,0.041413832,0.48770532
35199908,-0.20611541,0.041413832,0.49368122
35223510,-0.20909332,0.041413832,0.49069324
35246295,-0.20909332,0.041413832,0.49069324
