timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
30359442,-0.0009295072,0.0024151234,0.00095666526,0.0,0.0,0.0,0.0
30391496,0.000661825,-0.002858067,-0.00021391013,0.0,0.0,0.0,0.0
30419494,0.0036127032,-0.0006145756,-0.0014088382,0.0,0.0,0.0,0.0
30451438,-9.3439856e-05,-0.0034940212,-0.00037643593,0.0,0.0,0.0,0.0
30612254,0.0032494164,-0.005118881,-0.004804828,0.0,0.0,0.0,0.0
30644254,-0.0022326962,0.0011583411,0.0027516424,0.0,0.0,0.0,0.0
30676318,-0.0026149866,0.00030417088,0.003532228,0.0,0.0,0.0,0.0
30709100,0.0015008142,-0.0016601327,0.0005161825,0.0,0.0,0.0,0.0
30741099,0.0023066036,-0.0028462892,-0.002685822,0.0,0.0,0.0,0.0
30769047,0.0003167761,-0.00043275277,0.0010803737,0.0,0.0,0.0,0.0
30801099,0.0037712576,0.0010351189,-0.0027436202,0.0,0.0,0.0,0.0
30833044,-0.00028733042,0.0016158083,-0.001460335,0.0,0.0,0.0,0.0
30865103,-0.0009090208,-0.00017245137,0.0018435493,0.0,0.0,0.0,0.0
30897100,-0.00064843113,-0.0020601037,0.0007499133,0.0,0.0,0.0,0.0
30929903,0.0022843555,0.0002928204,-0.0049078474,0.0,0.0,0.0,0.0
30961848,0.001564082,-0.0023179317,-0.0016815532,0.0,0.0,0.0,0.0
30989855,0.0010122688,-0.0018619816,0.0013505212,0.0,0.0,0.0,0.0
31021842,-2.5765272e-05,-1.6500708e-06,0.0016098921,0.0,0.0,0.0,0.0
31053937,-0.002260166,-0.002541588,0.0016296965,0.0,0.0,0.0,0.0
31085845,-0.0020370355,0.00035796827,0.0020979696,0.0,0.0,0.0,0.0
31118644,0.0014813378,-0.00355501,-0.0020369475,0.0,0.0,0.0,0.0
31150702,0.0002517461,-0.0013759164,-0.0012209853,0.0,0.0,0.0,0.0
31178702,0.0035121497,-0.0015353049,-0.0028454307,0.0,0.0,0.0,0.0
31210692,0.001410143,-0.0037517063,-0.0015195513,0.0,0.0,0.0,0.0
31242644,-0.00050445,-0.0024057606,-0.0005582939,0.0,0.0,0.0,0.0
31274697,-0.00096412934,-0.0038376364,0.0017603822,0.0,0.0,0.0,0.0
31307468,0.0004843854,0.0043551726,0.00047230255,0.0,0.0,0.0,0.0
31339494,-0.0010459118,-0.0020776768,0.0006716624,0.0,0.0,0.0,0.0
32347444,-0.00078940997,0.00026128,0.0029905397,0.0,0.0,0.0,0.0
32379444,-0.0011669288,-0.0007506041,0.0015265859,0.0,0.0,0.0,0.0
32407444,-0.0005529468,-0.0005994863,0.0012981627,0.0,0.0,0.0,0.0
32439440,0.00019630935,-0.0022031802,2.528471e-05,0.0,0.0,0.0,0.0
