timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
30359487,4,1190.0,1190.0,1190.0,1190.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30463563,4,1190.0,1190.0,1190.0,1190.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30580305,4,1190.0,1190.0,1190.0,1190.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30684384,4,1190.0,1190.0,1190.0,1190.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30785099,4,1190.0,1190.0,1190.0,1190.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30885098,4,1190.0,1190.0,1190.0,1190.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30989900,4,1190.0,1190.0,1190.0,1190.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31089889,4,1190.0,1190.0,1190.0,1190.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31190693,4,1190.0,1190.0,1190.0,1190.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31290772,4,1190.0,1190.0,1190.0,1190.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32347489,4,1190.0,1190.0,1190.0,1190.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32447558,4,1190.0,1190.0,1190.0,1190.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32548300,4,1190.0,1190.0,1190.0,1190.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32652377,4,1190.0,1190.0,1190.0,1190.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32753184,4,1190.0,1190.0,1190.0,1190.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32853108,4,1190.0,1190.0,1190.0,1190.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32954056,4,1190.0,1190.0,1190.0,1190.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33057887,4,1190.0,1190.0,1190.0,1190.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33158775,4,1190.0,1190.0,1190.0,1190.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
