timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
150491368,150491368,0,0,0,0,0,0,0,0,0,0,0
151498982,151498982,0,0,0,0,0,0,0,0,0,0,0
152497767,152497767,0,0,0,0,0,0,0,0,0,0,0
153540689,153540689,0,0,0,0,0,0,0,0,0,0,0
154497460,154497460,0,0,0,0,0,0,0,0,0,0,0
155579484,155579484,0,0,0,0,0,0,0,0,0,0,0
156495352,156495352,0,0,0,0,0,0,0,0,0,0,0
157502349,157502349,0,0,0,0,0,0,0,0,0,0,0
158489265,158489265,0,0,0,0,0,0,0,0,0,0,0
159495395,159495395,0,0,0,0,0,0,0,0,0,0,0
160500354,160500354,0,0,0,0,0,0,0,0,0,0,0
161492253,161492253,0,0,0,0,0,0,0,0,0,0,0
163573400,163573400,0,0,0,0,0,0,0,0,0,0,0
164595667,164595667,0,0,0,0,0,0,0,0,0,0,0
165617839,165617839,0,0,0,0,0,0,0,0,0,0,0
166489317,166489317,0,0,0,0,0,0,0,0,0,0,0
167493366,167493366,0,0,0,0,0,0,0,0,0,0,0
168494360,168494360,0,0,0,0,0,0,0,0,0,0,0
169490213,169490213,0,0,0,0,0,0,0,0,0,0,0
170556800,170556800,0,0,0,0,0,0,0,0,0,0,0
171551175,171551175,0,0,0,0,0,0,0,0,0,0,0
172574453,172574453,0,0,0,0,0,0,0,0,0,0,0
173605608,173605608,0,0,0,0,0,0,0,0,0,0,0
174500479,174500479,0,0,0,0,0,0,0,0,0,0,0
175497284,175497284,0,0,0,0,0,0,0,0,0,0,0
176488407,176488407,0,0,0,0,0,0,0,0,0,0,0
177493204,177493204,0,0,0,0,0,0,0,0,0,0,0
178592717,178592717,0,0,0,0,0,0,0,0,0,0,0
179543197,179543197,0,0,0,0,0,0,0,0,0,0,0
180555103,180555103,0,0,0,0,0,0,0,0,0,0,0
181592756,181592756,0,0,0,0,0,0,0,0,0,0,0
182600743,182600743,0,0,0,0,0,0,0,0,0,0,0
