,timestamp,time_utc_usec,lat,lon,alt,noise_per_ms,jamming_indicator,vel_m_s,heading,satellites_used,load,ram_usage,voltage_filtered_v,remaining,warning,discharged_mah,noise,remote_noise,txbuf,rssi,remote_rssi,rxerrors,fix,baro_temp_celcius,baro_pressure_pa,landed,ground_contact,time
24,46118157,1554226095600005,323875843,-1170762822,22.52,58,5,2.575,,16,0.49595702,0.52801216,10.728057000000002,0.42743640000000005,0.0,81.47892,24,20,100,47,47,5,0,35.079997999999996,102169.99,0.0,0.0,24
25,47116330,1554226096600005,323876007,-1170762680,23.42,58,5,2.4160001,,16,0.50072765,0.52801216,10.722363,0.42321163,0.0,85.93942,23,22,95,47,47,5,0,35.09,102163.99,0.0,0.0,25
26,48117385,1554226097600005,323876199,-1170762561,23.38,58,5,2.6680002,,16,0.5030308,0.5304838000000001,10.753888,0.41834265,0.0,89.42505,22,21,99,46,47,5,0,35.11,102162.0,0.0,0.0,26
27,49115407,1554226098600005,323876432,-1170762474,23.2,58,6,2.7340002,,16,0.48098993,0.5304838000000001,10.748645,0.42044549999999997,0.0,93.51301600000001,28,21,97,43,45,5,0,35.12,102162.0,0.0,0.0,27
28,50114394,1554226099600005,323876625,-1170762343,22.94,54,5,2.0860002,,16,0.49404788,0.5304838000000001,10.739536,0.42212874,0.0,97.86925,23,20,54,38,39,6,0,35.14,102163.99,0.0,0.0,28
29,51114607,1554226100600005,323876743,-1170762183,22.88,54,8,2.2319999999999998,,16,0.4996934,0.5304838000000001,10.730917,0.41965443,0.0,102.18132,22,19,79,37,38,7,0,35.149998,102159.0,0.0,0.0,29
30,52116341,1554226101600004,323876908,-1170762016,22.96,54,6,2.5180001,,16,0.49776852,0.5304838000000001,10.72526,0.41967016,0.0,106.47601,23,19,100,36,38,9,0,35.17,102166.0,0.0,0.0,30
31,53118582,1554226102600004,323877005,-1170761846,23.09,51,5,1.7440001,,16,0.5145678,0.5304838000000001,10.7191,0.41907793,0.0,110.90393,22,19,89,44,38,10,0,35.18,102159.0,0.0,0.0,31
32,54120377,1554226103600004,323877137,-1170761646,23.35,50,6,2.7830002,,18,0.4896692,0.5304838000000001,10.711995,0.41697747,0.0,115.32888999999999,24,19,97,41,38,10,0,35.19,102157.99,0.0,0.0,32
33,55122789,1554226104600004,323877356,-1170761415,23.6,50,5,3.265,,18,0.4993558,0.5304838000000001,10.707936,0.4128552,0.0,119.66878500000001,22,0,99,45,0,10,0,35.2,102150.99,0.0,0.0,33
34,56112322,1554226105600004,323877603,-1170761212,23.77,50,6,3.6890001000000003,,18,0.50119174,0.5304838000000001,10.701449,0.41177659999999994,0.0,124.17541499999999,21,0,80,54,0,10,0,35.219997,102147.0,0.0,0.0,34
